,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,002237.XSHE,002237,恒邦股份,XSHE,2008-05-20,25.98,25.98,51.0,58.96,50.62,54.81,15656892,848091780.0,20973,0.8155,0.1214614809,1052352000.0,5250798000,1.1097,44.369,30.7246,17.964,1,
1,002237.XSHE,002237,恒邦股份,XSHE,2008-05-21,54.81,54.81,56.11,60.29,56.11,60.29,8449439,492400000.0,11649,0.4401,0.1214614809,1157568000.0,5775782000,0.1,48.8051,33.7965,19.76,1,
2,002237.XSHE,002237,恒邦股份,XSHE,2008-05-22,60.29,60.29,61.5,62.58,58.38,60.54,6120506,371840960.0,10703,0.3188,0.1214614809,1162368000.0,5799732000,0.0041,49.0075,33.9366,19.842,1,
3,002237.XSHE,002237,恒邦股份,XSHE,2008-05-23,60.54,60.54,59.5,62.0,58.6,60.54,3389535,204633776.0,6555,0.1765,0.1214614809,1162368000.0,5799732000,0.0,49.0075,33.9366,19.842,1,
4,002237.XSHE,002237,恒邦股份,XSHE,2008-05-26,60.54,60.54,59.01,65.0,59.0,61.2,3583820,223459856.0,7013,0.1867,0.1214614809,1175040000.0,5862960000,0.0109,49.5417,34.3066,20.0583,1,
5,002237.XSHE,002237,恒邦股份,XSHE,2008-05-27,61.2,61.2,60.5,62.5,58.88,59.45,2203259,133541264.0,4714,0.1148,0.1214614809,1141440000.0,5695310000,-0.0286,48.1251,33.3256,19.4847,1,
6,002237.XSHE,002237,恒邦股份,XSHE,2008-05-28,59.45,59.45,59.68,59.68,56.0,57.4,3378720,194222688.0,5712,0.176,0.1214614809,1102080000.0,5498920000,-0.0345,46.4656,32.1764,18.8128,1,
7,002237.XSHE,002237,恒邦股份,XSHE,2008-05-29,57.4,57.4,57.2,58.97,56.51,57.0,2118720,122353480.0,3720,0.1104,0.1214614809,1094400000.0,5460600000,-0.007,46.1418,31.9522,18.6817,1,
8,002237.XSHE,002237,恒邦股份,XSHE,2008-05-30,57.0,57.0,56.4,56.4,52.9,54.7,3479595,188119616.0,5405,0.1812,0.1214614809,1050240000.0,5240260000,-0.0404,44.28,30.6629,17.9279,1,
9,002237.XSHE,002237,恒邦股份,XSHE,2008-06-02,54.7,54.7,53.75,56.75,52.3,54.56,2294974,123881176.0,4372,0.1195,0.1214614809,1047552000.0,5226848000,-0.0026,44.1666,30.5844,17.882,1,
10,002237.XSHE,002237,恒邦股份,XSHE,2008-06-03,54.56,54.56,54.2,54.3,51.9,52.15,1824004,96976496.0,3491,0.095,0.1214614809,1001280000.0,4995970000,-0.0442,42.2157,29.2335,17.0921,1,
11,002237.XSHE,002237,恒邦股份,XSHE,2008-06-04,52.15,52.15,51.9,53.48,51.08,52.3,1445547,75359152.0,2996,0.0753,0.1214614809,1004160000.0,5010340000,0.0029,42.3371,29.3175,17.1413,1,
