,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600519.XSHG,600519,贵州茅台,XSHG,2001-08-27,31.39,31.39,34.51,37.78,32.85,35.55,40631800,1410347140,70899.0,0.5683,0.1312310249,2541825000.0,8887500000,0.1325,,,0.7285,1,
1,600519.XSHG,600519,贵州茅台,XSHG,2001-08-28,35.55,35.55,34.99,37.0,34.61,36.86,12964779,463463136,20521.0,0.1813,0.1312310249,2635490000.0,9215000000,0.0368,,,0.7553,1,
2,600519.XSHG,600519,贵州茅台,XSHG,2001-08-29,36.86,36.86,36.98,37.0,36.1,36.38,5325275,194689616,10042.0,0.0745,0.1312310249,2601170000.0,9095000000,-0.013,,,0.7455,1,
3,600519.XSHG,600519,贵州茅台,XSHG,2001-08-30,36.38,36.38,36.28,37.51,36.0,37.1,4801306,177558560,9046.0,0.0672,0.1312310249,2652650000.0,9275000000,0.0198,,,0.7602,1,
4,600519.XSHG,600519,贵州茅台,XSHG,2001-08-31,37.1,37.1,37.15,37.62,36.8,37.01,2323148,86231240,5292.0,0.0325,0.1312310249,2646215000.0,9252500000,-0.0024,,,0.7584,1,
5,600519.XSHG,600519,贵州茅台,XSHG,2001-09-03,37.01,37.01,37.2,37.57,36.85,36.99,2211209,82129440,5089.0,0.0309,0.1312310249,2644785000.0,9247500000,-0.0005,,,0.758,1,
6,600519.XSHG,600519,贵州茅台,XSHG,2001-09-04,36.99,36.99,37.01,38.08,36.88,37.46,3700677,139204384,6926.0,0.0518,0.1312310249,2678390000.0,9365000000,0.0127,,,0.7676,1,
7,600519.XSHG,600519,贵州茅台,XSHG,2001-09-05,37.46,37.46,37.61,37.92,37.21,37.44,2606695,97796240,4611.0,0.0365,0.1312310249,2676960000.0,9360000000,-0.0005,,,0.7672,1,
8,600519.XSHG,600519,贵州茅台,XSHG,2001-09-06,37.44,37.44,37.35,37.47,36.51,36.7,2899703,107078400,5533.0,0.0406,0.1312310249,2624050000.0,9175000000,-0.0198,,,0.752,1,
9,600519.XSHG,600519,贵州茅台,XSHG,2001-09-07,36.7,36.7,36.5,36.95,35.65,35.68,3155225,113868744,6866.0,0.0441,0.1312310249,2551120000.0,8920000000,-0.0278,,,0.7311,1,
10,600519.XSHG,600519,贵州茅台,XSHG,2001-09-10,35.68,35.68,35.4,36.85,35.01,36.7,1887889,68406472,3494.0,0.0264,0.1312310249,2624050000.0,9175000000,0.0286,,,0.752,1,
11,600519.XSHG,600519,贵州茅台,XSHG,2001-09-11,36.7,36.7,36.8,36.95,36.2,36.29,1139081,41579696,2467.0,0.0159,0.1312310249,2594735000.0,9072500000,-0.0112,,,0.7436,1,
12,600519.XSHG,600519,贵州茅台,XSHG,2001-09-12,36.29,36.29,35.33,36.2,35.3,35.98,2504519,89421376,4467.0,0.035,0.1312310249,2572570000.0,8995000000,-0.0085,,,0.7373,1,
13,600519.XSHG,600519,贵州茅台,XSHG,2001-09-13,35.98,35.98,36.01,36.3,35.7,35.89,1098668,39512776,1720.0,0.0154,0.1312310249,2566135000.0,8972500000,-0.0025,,,0.7354,1,
14,600519.XSHG,600519,贵州茅台,XSHG,2001-09-14,35.89,35.89,36.01,36.5,35.8,36.3,767283,27740692,1685.0,0.0107,0.1312310249,2595450000.0,9075000000,0.0114,,,0.7438,1,
15,600519.XSHG,600519,贵州茅台,XSHG,2001-09-17,36.3,36.3,36.08,36.29,35.5,35.84,898397,32183248,1907.0,0.0126,0.1312310249,2562560000.0,8960000000,-0.0127,,,0.7344,1,
16,600519.XSHG,600519,贵州茅台,XSHG,2001-09-18,35.84,35.84,35.88,36.55,35.85,36.25,1077326,39006064,1935.0,0.0151,0.1312310249,2591875000.0,9062500000,0.0114,,,0.7428,1,
17,600519.XSHG,600519,贵州茅台,XSHG,2001-09-19,36.25,36.25,36.3,36.92,36.06,36.92,865053,31597368,1794.0,0.0121,0.1312310249,2639780000.0,9230000000,0.0185,,,0.7565,1,
18,600519.XSHG,600519,贵州茅台,XSHG,2001-09-20,36.92,36.92,36.9,37.05,36.5,36.61,1117335,41189576,2268.0,0.0156,0.1312310249,2617615000.0,9152500000,-0.0084,,,0.7502,1,
19,600519.XSHG,600519,贵州茅台,XSHG,2001-09-21,36.61,36.61,36.28,36.6,36.0,36.06,787972,28638680,1513.0,0.011,0.1312310249,2578290000.0,9015000000,-0.015,,,0.7389,1,
20,600519.XSHG,600519,贵州茅台,XSHG,2001-09-24,36.06,36.06,36.06,36.39,36.0,36.05,406860,14703096,1061.0,0.0057,0.1312310249,2577575000.0,9012500000,-0.0003,,,0.7387,1,
21,600519.XSHG,600519,贵州茅台,XSHG,2001-09-25,36.05,36.05,36.28,36.54,36.05,36.23,348845,12639790,799.0,0.0049,0.1312310249,2590445000.0,9057500000,0.005,,,0.7424,1,
22,600519.XSHG,600519,贵州茅台,XSHG,2001-09-26,36.23,36.23,36.11,36.48,36.0,36.08,495626,17892564,1231.0,0.0069,0.1312310249,2579720000.0,9020000000,-0.0041,,,0.7393,1,
23,600519.XSHG,600519,贵州茅台,XSHG,2001-09-27,36.08,36.08,36.08,36.98,36.0,36.7,877804,32085132,1972.0,0.0123,0.1312310249,2624050000.0,9175000000,0.0172,,,0.752,1,
24,600519.XSHG,600519,贵州茅台,XSHG,2001-09-28,36.7,36.7,36.9,37.2,36.5,37.09,1708847,63169144,3253.0,0.0239,0.1312310249,2651935000.0,9272500000,0.0106,,,0.76,1,
25,600519.XSHG,600519,贵州茅台,XSHG,2001-10-08,37.09,37.09,37.0,37.18,36.25,36.58,655217,24091148,1477.0,0.0092,0.1312310249,2615470000.0,9145000000,-0.0138,,,0.7496,1,
26,600519.XSHG,600519,贵州茅台,XSHG,2001-10-09,36.58,36.58,36.6,37.5,36.6,37.3,955852,35498604,1956.0,0.0134,0.1312310249,2666950000.0,9325000000,0.0197,,,0.7643,1,
27,600519.XSHG,600519,贵州茅台,XSHG,2001-10-10,37.3,37.3,37.3,37.43,36.03,36.1,1754869,63956752,3455.0,0.0245,0.1312310249,2581150000.0,9025000000,-0.0322,,,0.7397,1,
28,600519.XSHG,600519,贵州茅台,XSHG,2001-10-11,36.1,36.1,36.01,36.5,35.65,35.75,1230684,44319896,2734.0,0.0172,0.1312310249,2556125000.0,8937500000,-0.0097,,,0.7326,1,
29,600519.XSHG,600519,贵州茅台,XSHG,2001-10-12,35.75,35.75,35.9,36.65,34.05,36.0,2001070,70897328,4348.0,0.028,0.1312310249,2574000000.0,9000000000,0.007,,,0.7377,1,
30,600519.XSHG,600519,贵州茅台,XSHG,2001-10-15,36.0,36.0,35.9,36.0,34.9,35.3,975531,34501712,,0.0136,0.1312310249,2523950000.0,8825000000,-0.0194,,,0.7233,1,
31,600519.XSHG,600519,贵州茅台,XSHG,2001-10-16,35.3,35.3,35.13,35.8,34.75,34.8,831991,29068172,,0.0116,0.1312310249,2488200000.0,8700000000,-0.0142,,,0.7131,1,
32,600519.XSHG,600519,贵州茅台,XSHG,2001-10-17,34.8,34.8,34.79,34.81,33.9,34.2,1250768,42766284,,0.0175,0.1312310249,2445300000.0,8550000000,-0.0172,,,0.7008,1,
33,600519.XSHG,600519,贵州茅台,XSHG,2001-10-18,34.2,34.2,34.2,34.66,33.91,34.04,498346,16999064,,0.007,0.1312310249,2433860000.0,8510000000,-0.0047,,,0.6975,1,
34,600519.XSHG,600519,贵州茅台,XSHG,2001-10-19,34.04,34.04,34.0,34.15,33.01,33.5,1568754,52422844,,0.0219,0.1312310249,2395250000.0,8375000000,-0.0159,,,0.6865,1,
35,600519.XSHG,600519,贵州茅台,XSHG,2001-10-22,33.5,33.5,33.3,33.7,32.7,32.79,976065,32268912,,0.0137,0.1312310249,2344485000.0,8197500000,-0.0212,,,0.6719,1,
36,600519.XSHG,600519,贵州茅台,XSHG,2001-10-23,32.79,32.79,36.0,36.07,35.01,36.07,4059824,145710544,,0.0568,0.1312310249,2579005000.0,9017500000,0.1,,,0.7391,1,
37,600519.XSHG,600519,贵州茅台,XSHG,2001-10-24,36.07,36.07,36.78,36.8,35.11,35.86,4068239,147001104,,0.0569,0.1312310249,2563990000.0,8965000000,-0.0058,,,0.7348,1,
38,600519.XSHG,600519,贵州茅台,XSHG,2001-10-25,35.86,35.86,35.7,35.8,34.86,34.88,1603686,56527284,,0.0224,0.1312310249,2493920000.0,8720000000,-0.0273,,,0.7147,1,
39,600519.XSHG,600519,贵州茅台,XSHG,2001-10-26,34.88,34.88,34.7,35.1,34.42,35.0,900220,31280144,,0.0126,0.1312310249,2502500000.0,8750000000,0.0034,,,0.7172,1,
40,600519.XSHG,600519,贵州茅台,XSHG,2001-10-29,35.0,35.0,34.88,35.63,34.88,35.3,458786,16205054,,0.0064,0.1312310249,2523950000.0,8825000000,0.0086,,,0.7233,1,
41,600519.XSHG,600519,贵州茅台,XSHG,2001-10-30,35.3,35.3,35.25,35.49,34.92,35.0,348417,12214728,,0.0049,0.1312310249,2502500000.0,8750000000,-0.0085,,,0.7172,1,
42,600519.XSHG,600519,贵州茅台,XSHG,2001-10-31,35.0,35.0,35.0,35.09,34.8,35.05,476247,16633345,,0.0067,0.1312310249,2506075000.0,8762500000,0.0014,,,0.7182,1,
43,600519.XSHG,600519,贵州茅台,XSHG,2001-11-01,35.05,35.05,35.05,35.64,34.95,35.57,664303,23511580,,0.0093,0.1312310249,2543255000.0,8892500000,0.0148,,,0.7289,1,
44,600519.XSHG,600519,贵州茅台,XSHG,2001-11-02,35.57,35.57,35.28,35.72,35.16,35.36,343520,12189356,,0.0048,0.1312310249,2528240000.0,8840000000,-0.0059,,,0.7246,1,
45,600519.XSHG,600519,贵州茅台,XSHG,2001-11-05,35.36,35.36,35.0,35.26,34.7,34.9,369076,12879737,,0.0052,0.1312310249,2495350000.0,8725000000,-0.013,,,0.7151,1,
46,600519.XSHG,600519,贵州茅台,XSHG,2001-11-06,34.9,34.9,34.8,35.3,34.72,35.15,260931,9138666,,0.0036,0.1312310249,2513225000.0,8787500000,0.0072,,,0.7203,1,
47,600519.XSHG,600519,贵州茅台,XSHG,2001-11-07,35.15,35.15,35.0,35.0,33.8,33.85,932538,31791132,,0.013,0.1312310249,2420275000.0,8462500000,-0.037,,,0.6936,1,
48,600519.XSHG,600519,贵州茅台,XSHG,2001-11-08,33.85,33.85,33.35,33.89,32.98,33.7,740216,24682904,,0.0104,0.1312310249,2409550000.0,8425000000,-0.0044,,,0.6906,1,
49,600519.XSHG,600519,贵州茅台,XSHG,2001-11-09,33.7,33.7,33.7,34.48,33.34,34.15,376076,12737203,,0.0053,0.1312310249,2441725000.0,8537500000,0.0134,,,0.6998,1,
50,600519.XSHG,600519,贵州茅台,XSHG,2001-11-12,34.15,34.15,34.4,34.4,33.52,33.6,268333,9088858,644.0,0.0038,0.1312310249,2402400000.0,8400000000,-0.0161,,,0.6885,1,
51,600519.XSHG,600519,贵州茅台,XSHG,2001-11-13,33.6,33.6,33.28,33.7,33.21,33.64,267381,8965279,531.0,0.0037,0.1312310249,2405260000.0,8410000000,0.0012,,,0.6893,1,
52,600519.XSHG,600519,贵州茅台,XSHG,2001-11-14,33.64,33.64,33.64,34.0,33.64,33.65,76900,2599260,226.0,0.0011,0.1312310249,2405975000.0,8412500000,0.0003,,,0.6895,1,
53,600519.XSHG,600519,贵州茅台,XSHG,2001-11-15,33.65,33.65,33.65,33.8,33.5,33.68,219345,7378238,429.0,0.0031,0.1312310249,2408120000.0,8420000000,0.0009,,,0.6901,1,
54,600519.XSHG,600519,贵州茅台,XSHG,2001-11-16,33.68,33.68,36.2,36.2,33.99,34.09,995470,34600364,1872.0,0.0139,0.1312310249,2437435000.0,8522500000,0.0122,,,0.6985,1,
55,600519.XSHG,600519,贵州茅台,XSHG,2001-11-19,34.09,34.09,34.15,35.08,34.1,35.05,373461,12950484,820.0,0.0052,0.1312310249,2506075000.0,8762500000,0.0282,,,0.7182,1,
56,600519.XSHG,600519,贵州茅台,XSHG,2001-11-20,35.05,35.05,35.2,35.53,34.9,35.38,806908,28559196,1687.0,0.0113,0.1312310249,2529670000.0,8845000000,0.0094,,,0.725,1,
57,600519.XSHG,600519,贵州茅台,XSHG,2001-11-21,35.38,35.38,35.48,35.5,34.9,35.18,511442,17957628,971.0,0.0072,0.1312310249,2515370000.0,8795000000,-0.0057,,,0.7209,1,
58,600519.XSHG,600519,贵州茅台,XSHG,2001-11-22,35.18,35.18,35.22,35.3,34.91,35.12,419879,14713840,834.0,0.0059,0.1312310249,2511080000.0,8780000000,-0.0017,,,0.7196,1,
59,600519.XSHG,600519,贵州茅台,XSHG,2001-11-23,35.12,35.12,35.01,35.25,34.78,34.98,396090,13866447,694.0,0.0055,0.1312310249,2501070000.0,8745000000,-0.004,,,0.7168,1,
60,600519.XSHG,600519,贵州茅台,XSHG,2001-11-26,34.98,34.98,35.0,35.0,34.5,34.61,310099,10749495,749.0,0.0043,0.1312310249,2474615000.0,8652500000,-0.0106,,,0.7092,1,
61,600519.XSHG,600519,贵州茅台,XSHG,2001-11-27,34.61,34.61,34.58,35.07,34.58,35.0,256948,8954894,529.0,0.0036,0.1312310249,2502500000.0,8750000000,0.0113,,,0.7172,1,
62,600519.XSHG,600519,贵州茅台,XSHG,2001-11-28,35.0,35.0,35.05,35.39,34.9,35.05,377362,13256608,881.0,0.0053,0.1312310249,2506075000.0,8762500000,0.0014,,,0.7182,1,
63,600519.XSHG,600519,贵州茅台,XSHG,2001-11-29,35.05,35.05,35.01,35.2,34.81,34.83,304618,10658762,745.0,0.0043,0.1312310249,2490345000.0,8707500000,-0.0063,,,0.7137,1,
64,600519.XSHG,600519,贵州茅台,XSHG,2001-11-30,34.83,34.83,34.83,35.45,34.8,35.34,407097,14292950,861.0,0.0057,0.1312310249,2526810000.0,8835000000,0.0146,,,0.7242,1,
65,600519.XSHG,600519,贵州茅台,XSHG,2001-12-03,35.34,35.34,35.35,36.27,35.34,36.17,1603705,57741700,2933.0,0.0224,0.1312310249,2586155000.0,9042500000,0.0235,,,0.7412,1,
66,600519.XSHG,600519,贵州茅台,XSHG,2001-12-04,36.17,36.17,36.25,36.27,35.81,36.21,689499,24859860,1624.0,0.0096,0.1312310249,2589015000.0,9052500000,0.0011,,,0.742,1,
67,600519.XSHG,600519,贵州茅台,XSHG,2001-12-05,36.21,36.21,37.0,37.0,35.96,36.0,1502835,54737512,3026.0,0.021,0.1312310249,2574000000.0,9000000000,-0.0058,,,0.7377,1,
68,600519.XSHG,600519,贵州茅台,XSHG,2001-12-06,36.0,36.0,35.9,36.3,35.8,36.06,637222,23004768,1553.0,0.0089,0.1312310249,2578290000.0,9015000000,0.0017,,,0.7389,1,
69,600519.XSHG,600519,贵州茅台,XSHG,2001-12-07,36.06,36.06,36.1,36.2,35.8,35.86,390820,14031912,1017.0,0.0055,0.1312310249,2563990000.0,8965000000,-0.0055,,,0.7348,1,
70,600519.XSHG,600519,贵州茅台,XSHG,2001-12-10,35.86,35.86,36.0,36.08,35.71,35.99,416156,14941666,1082.0,0.0058,0.1312310249,2573285000.0,8997500000,0.0036,,,0.7375,1,
71,600519.XSHG,600519,贵州茅台,XSHG,2001-12-11,35.99,35.99,36.0,36.0,35.61,35.64,358002,12821499,847.0,0.005,0.1312310249,2548260000.0,8910000000,-0.0097,,,0.7303,1,
72,600519.XSHG,600519,贵州茅台,XSHG,2001-12-12,35.64,35.64,35.6,36.1,35.6,35.77,463267,16611472,924.0,0.0065,0.1312310249,2557555000.0,8942500000,0.0036,,,0.733,1,
73,600519.XSHG,600519,贵州茅台,XSHG,2001-12-13,35.77,35.77,35.61,35.97,35.2,35.26,354045,12580276,901.0,0.005,0.1312310249,2521090000.0,8815000000,-0.0143,,,0.7225,1,
74,600519.XSHG,600519,贵州茅台,XSHG,2001-12-14,35.26,35.26,35.02,35.5,35.02,35.2,284125,10026619,734.0,0.004,0.1312310249,2516800000.0,8800000000,-0.0017,,,0.7213,1,
75,600519.XSHG,600519,贵州茅台,XSHG,2001-12-17,35.2,35.2,35.11,35.61,35.05,35.36,441389,15611050,935.0,0.0062,0.1312310249,2528240000.0,8840000000,0.0045,,,0.7246,1,
76,600519.XSHG,600519,贵州茅台,XSHG,2001-12-18,35.36,35.36,35.48,35.96,35.1,35.9,482120,17167382,1074.0,0.0067,0.1312310249,2566850000.0,8975000000,0.0153,,,0.7356,1,
77,600519.XSHG,600519,贵州茅台,XSHG,2001-12-19,35.9,35.9,35.9,36.49,35.63,35.96,962001,34761228,2045.0,0.0135,0.1312310249,2571140000.0,8990000000,0.0017,,,0.7369,1,
78,600519.XSHG,600519,贵州茅台,XSHG,2001-12-20,35.96,35.96,35.9,35.9,34.65,34.76,1136223,39988832,2694.0,0.0159,0.1312310249,2485340000.0,8690000000,-0.0334,,,0.7123,1,
79,600519.XSHG,600519,贵州茅台,XSHG,2001-12-21,34.76,34.76,34.7,35.97,34.7,35.87,813504,28861442,1941.0,0.0114,0.1312310249,2564705000.0,8967500000,0.0319,,,0.735,1,
80,600519.XSHG,600519,贵州茅台,XSHG,2001-12-24,35.87,35.87,35.99,37.25,35.81,36.42,2725079,99947168,6365.0,0.0381,0.1312310249,2604030000.0,9105000000,0.0153,,,0.7463,1,
81,600519.XSHG,600519,贵州茅台,XSHG,2001-12-25,36.42,36.42,36.45,36.72,35.95,36.5,1218260,44420024,2390.0,0.017,0.1312310249,2609750000.0,9125000000,0.0022,,,0.7479,1,
82,600519.XSHG,600519,贵州茅台,XSHG,2001-12-26,36.5,36.5,36.54,37.25,36.1,37.19,1680952,62127144,3583.0,0.0235,0.1312310249,2659085000.0,9297500000,0.0189,,,0.7621,1,
83,600519.XSHG,600519,贵州茅台,XSHG,2001-12-27,37.19,37.19,37.22,37.84,36.92,37.32,2328478,87052680,5559.0,0.0326,0.1312310249,2668380000.0,9330000000,0.0035,,,0.7647,1,
84,600519.XSHG,600519,贵州茅台,XSHG,2001-12-28,37.32,37.32,37.3,37.6,36.88,37.3,1227932,45692304,3268.0,0.0172,0.1312310249,2666950000.0,9325000000,-0.0005,,,0.7643,1,
85,600519.XSHG,600519,贵州茅台,XSHG,2001-12-31,37.3,37.3,37.67,39.3,37.46,38.55,5219541,202281568,10936.0,0.073,0.1312310249,2756325000.0,9637500000,0.0335,,,0.7899,1,
86,600519.XSHG,600519,贵州茅台,XSHG,2002-01-04,38.55,38.55,38.72,38.8,37.45,37.55,2910962,111030304,6900.0,0.0407,0.1312310249,2684825000.0,9387500000,-0.0259,,,0.7694,1,
87,600519.XSHG,600519,贵州茅台,XSHG,2002-01-07,37.55,37.55,37.15,37.5,36.68,37.35,1894295,70279720,4606.0,0.0265,0.1312310249,2670525000.0,9337500000,-0.0053,,,0.7653,1,
88,600519.XSHG,600519,贵州茅台,XSHG,2002-01-08,37.35,37.35,37.0,37.59,36.48,36.59,1328664,48947616,3059.0,0.0186,0.1312310249,2616185000.0,9147500000,-0.0203,,,0.7498,1,
89,600519.XSHG,600519,贵州茅台,XSHG,2002-01-09,36.59,36.59,36.5,37.18,36.35,36.87,1060682,38912708,2610.0,0.0148,0.1312310249,2636205000.0,9217500000,0.0077,,,0.7555,1,
90,600519.XSHG,600519,贵州茅台,XSHG,2002-01-10,36.87,36.87,36.98,37.39,36.35,37.24,1881555,69093752,3369.0,0.0263,0.1312310249,2662660000.0,9310000000,0.01,,,0.7631,1,
91,600519.XSHG,600519,贵州茅台,XSHG,2002-01-11,37.24,37.24,37.01,37.14,36.0,36.05,1183475,43306416,2743.0,0.0166,0.1312310249,2577575000.0,9012500000,-0.032,,,0.7387,1,
92,600519.XSHG,600519,贵州茅台,XSHG,2002-01-14,36.05,36.05,35.7,36.4,35.43,36.1,1871851,67196712,3164.0,0.0262,0.1312310249,2581150000.0,9025000000,0.0014,,,0.7397,1,
93,600519.XSHG,600519,贵州茅台,XSHG,2002-01-15,36.1,36.1,35.98,37.05,35.91,36.54,1824741,66666864,3381.0,0.0255,0.1312310249,2612610000.0,9135000000,0.0122,,,0.7487,1,
94,600519.XSHG,600519,贵州茅台,XSHG,2002-01-16,36.54,36.54,36.48,36.97,35.4,36.35,1397433,50700232,2808.0,0.0195,0.1312310249,2599025000.0,9087500000,-0.0052,,,0.7449,1,
95,600519.XSHG,600519,贵州茅台,XSHG,2002-01-17,36.35,36.35,36.2,36.49,34.7,35.06,2418031,85418336,4215.0,0.0338,0.1312310249,2506790000.0,8765000000,-0.0355,,,0.7184,1,
96,600519.XSHG,600519,贵州茅台,XSHG,2002-01-18,35.06,35.06,34.8,36.88,34.7,36.65,3226208,116437264,5155.0,0.0451,0.1312310249,2620475000.0,9162500000,0.0454,,,0.751,1,
97,600519.XSHG,600519,贵州茅台,XSHG,2002-01-21,36.65,36.65,36.3,36.6,35.58,35.87,1575593,56764192,2590.0,0.022,0.1312310249,2564705000.0,8967500000,-0.0213,,,0.735,1,
98,600519.XSHG,600519,贵州茅台,XSHG,2002-01-22,35.87,35.87,35.8,36.95,35.8,36.44,1348567,49186216,2390.0,0.0189,0.1312310249,2605460000.0,9110000000,0.0159,,,0.7467,1,
99,600519.XSHG,600519,贵州茅台,XSHG,2002-01-23,36.44,36.44,36.65,37.65,36.2,37.62,2333648,86396944,3639.0,0.0326,0.1312310249,2689830000.0,9405000000,0.0324,,,0.7709,1,
100,600519.XSHG,600519,贵州茅台,XSHG,2002-01-24,37.62,37.62,37.36,37.87,36.8,37.29,2661580,99483232,4487.0,0.0372,0.1312310249,2666235000.0,9322500000,-0.0088,,,0.7641,1,
101,600519.XSHG,600519,贵州茅台,XSHG,2002-01-25,37.29,37.29,37.24,37.57,36.8,37.1,1394112,51685504,2776.0,0.0195,0.1312310249,2652650000.0,9275000000,-0.0051,,,0.7602,1,
102,600519.XSHG,600519,贵州茅台,XSHG,2002-01-28,37.1,37.1,37.0,37.29,35.3,35.49,2166782,77886072,4533.0,0.0303,0.1312310249,2537535000.0,8872500000,-0.0434,,,0.7272,1,
103,600519.XSHG,600519,贵州茅台,XSHG,2002-01-29,35.49,35.49,35.2,36.2,34.98,35.66,1187200,42283084,2409.0,0.0166,0.1312310249,2549690000.0,8915000000,0.0048,,,0.7307,1,
104,600519.XSHG,600519,贵州茅台,XSHG,2002-01-30,35.66,35.66,35.6,36.28,35.2,35.58,841922,30030708,1701.0,0.0118,0.1312310249,2543970000.0,8895000000,-0.0022,,,0.7291,1,
105,600519.XSHG,600519,贵州茅台,XSHG,2002-01-31,35.58,35.58,36.0,38.0,36.0,37.6,4082830,152780896,6519.0,0.0571,0.1312310249,2688400000.0,9400000000,0.0568,,,0.7705,1,
106,600519.XSHG,600519,贵州茅台,XSHG,2002-02-01,37.6,37.6,37.5,37.98,36.9,37.06,1734503,64926556,3280.0,0.0243,0.1312310249,2649790000.0,9265000000,-0.0144,,,0.7594,1,
107,600519.XSHG,600519,贵州茅台,XSHG,2002-02-04,37.06,37.06,37.18,38.15,37.0,37.92,1651019,62395236,3143.0,0.0231,0.1312310249,2711280000.0,9480000000,0.0232,,,0.777,1,
108,600519.XSHG,600519,贵州茅台,XSHG,2002-02-05,37.92,37.92,37.93,38.68,37.63,37.9,1119573,42691508,2350.0,0.0157,0.1312310249,2709850000.0,9475000000,-0.0005,,,0.7766,1,
109,600519.XSHG,600519,贵州茅台,XSHG,2002-02-06,37.9,37.9,37.86,38.11,37.09,37.18,966854,36137656,2124.0,0.0135,0.1312310249,2658370000.0,9295000000,-0.019,,,0.7619,1,
110,600519.XSHG,600519,贵州茅台,XSHG,2002-02-07,37.18,37.18,37.18,37.92,37.12,37.41,668817,25158900,1644.0,0.0094,0.1312310249,2674815000.0,9352500000,0.0062,,,0.7666,1,
111,600519.XSHG,600519,贵州茅台,XSHG,2002-02-08,37.41,37.41,37.6,38.2,37.58,37.65,1256931,47643920,2584.0,0.0176,0.1312310249,2691975000.0,9412500000,0.0064,,,0.7715,1,
