,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600547.XSHG,600547,山东黄金,XSHG,2003-08-28,4.78,4.78,10.2,10.98,10.08,10.71,36405076,385752448,,0.6068,0.0641574487,642600000.0,1713600000.0,1.2406,,,1.6734,1,
1,600547.XSHG,600547,山东黄金,XSHG,2003-08-29,10.71,10.71,10.58,10.74,10.35,10.62,12969091,136727424,,0.2162,0.0641574487,637200000.0,1699200000.0,-0.0084,,,1.6593,1,
2,600547.XSHG,600547,山东黄金,XSHG,2003-09-01,10.62,10.62,10.7,11.68,10.66,11.68,18138534,202965504,,0.3023,0.0641574487,700800000.0,1868800000.0,0.0998,,,1.8249,1,
3,600547.XSHG,600547,山东黄金,XSHG,2003-09-02,11.68,11.68,11.9,12.77,11.8,12.15,28847848,350362400,,0.4808,0.0641574487,729000000.0,1944000000.0,0.0402,,,1.8983,1,
4,600547.XSHG,600547,山东黄金,XSHG,2003-09-03,12.15,12.15,12.09,12.3,11.95,12.2,11939049,144638048,,0.199,0.0641574487,732000000.0,1952000000.0,0.0041,,,1.9062,1,
5,600547.XSHG,600547,山东黄金,XSHG,2003-09-04,12.2,12.2,12.2,12.43,12.01,12.06,10404395,127225520,,0.1734,0.0641574487,723600000.0,1929600000.0,-0.0115,,,1.8843,1,
6,600547.XSHG,600547,山东黄金,XSHG,2003-09-05,12.06,12.06,12.08,12.3,11.71,11.78,10068151,121118096,,0.1678,0.0641574487,706800000.0,1884800000.0,-0.0232,,,1.8405,1,
7,600547.XSHG,600547,山东黄金,XSHG,2003-09-08,11.78,11.78,11.72,12.05,11.72,11.86,4393986,52295964,,0.0732,0.0641574487,711600000.0,1897600000.0,0.0068,,,1.853,1,
8,600547.XSHG,600547,山东黄金,XSHG,2003-09-09,11.86,11.86,11.86,11.92,11.45,11.63,5475832,63748256,,0.0913,0.0641574487,697800000.0,1860800000.0,-0.0194,,,1.8171,1,
9,600547.XSHG,600547,山东黄金,XSHG,2003-09-10,11.63,11.63,11.68,12.35,11.68,12.12,8939779,107942064,,0.149,0.0641574487,727200000.0,1939200000.0,0.0421,,,1.8937,1,
10,600547.XSHG,600547,山东黄金,XSHG,2003-09-11,12.12,12.12,12.1,12.25,12.0,12.11,2847748,34503392,,0.0475,0.0641574487,726600000.0,1937600000.0,-0.0008,,,1.8921,1,
11,600547.XSHG,600547,山东黄金,XSHG,2003-09-12,12.11,12.11,12.12,12.14,11.84,12.12,3205470,38338032,,0.0534,0.0641574487,727200000.0,1939200000.0,0.0008,,,1.8937,1,
12,600547.XSHG,600547,山东黄金,XSHG,2003-09-15,12.12,12.12,12.03,12.15,11.75,11.94,3092317,36908016,,0.0515,0.0641574487,716400000.0,1910400000.0,-0.0149,,,1.8655,1,
13,600547.XSHG,600547,山东黄金,XSHG,2003-09-16,11.94,11.94,11.94,12.16,11.85,12.15,3225253,38711136,,0.0538,0.0641574487,729000000.0,1944000000.0,0.0176,,,1.8983,1,
14,600547.XSHG,600547,山东黄金,XSHG,2003-09-17,12.15,12.15,12.15,12.17,11.64,11.72,4115564,48775904,,0.0686,0.0641574487,703200000.0,1875200000.0,-0.0354,,,1.8312,1,
15,600547.XSHG,600547,山东黄金,XSHG,2003-09-18,11.72,11.72,11.65,11.82,11.51,11.71,2315450,27005002,,0.0386,0.0641574487,702600000.0,1873600000.0,-0.0009,,,1.8296,1,
16,600547.XSHG,600547,山东黄金,XSHG,2003-09-19,11.71,11.71,11.61,11.73,11.3,11.44,4026264,46045196,,0.0671,0.0641574487,686400000.0,1830400000.0,-0.0231,,,1.7874,1,
17,600547.XSHG,600547,山东黄金,XSHG,2003-09-22,11.44,11.44,11.56,11.82,11.46,11.65,2089479,24402572,,0.0348,0.0641574487,699000000.0,1864000000.0,0.0184,,,1.8202,1,
18,600547.XSHG,600547,山东黄金,XSHG,2003-09-23,11.65,11.65,11.71,11.96,11.67,11.94,2197650,26040988,,0.0366,0.0641574487,716400000.0,1910400000.0,0.0249,,,1.8655,1,
19,600547.XSHG,600547,山东黄金,XSHG,2003-09-24,11.94,11.94,11.92,11.98,11.82,11.91,1275472,15181468,,0.0213,0.0641574487,714600000.0,1905600000.0,-0.0025,,,1.8608,1,
20,600547.XSHG,600547,山东黄金,XSHG,2003-09-25,11.91,11.91,11.88,11.88,11.66,11.7,1220691,14341609,,0.0203,0.0641574487,702000000.0,1872000000.0,-0.0176,,,1.828,1,
21,600547.XSHG,600547,山东黄金,XSHG,2003-09-26,11.7,11.7,11.8,12.87,11.72,12.43,13696196,170730432,,0.2283,0.0641574487,745800000.0,1988800000.0,0.0624,,,1.9421,1,
22,600547.XSHG,600547,山东黄金,XSHG,2003-09-29,12.43,12.43,12.4,12.57,12.14,12.19,5861269,72414104,,0.0977,0.0641574487,731400000.0,1950400000.0,-0.0193,,,1.9046,1,
23,600547.XSHG,600547,山东黄金,XSHG,2003-09-30,12.19,12.19,12.3,12.38,11.22,11.98,6925702,81749024,,0.1154,0.0641574487,718800000.0,1916800000.0,-0.0172,,,1.8718,1,
