,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,300033.XSHE,300033,同花顺,XSHE,2009-12-25,52.8,52.8,74.0,78.88,70.3,70.38,9661747,717010560.0,38617,0.7189,0.115856491,945907200.0,4729536000,0.333,84.4312,66.9306,49.1727,1,74.211
1,300033.XSHE,300033,同花顺,XSHE,2009-12-28,70.38,70.38,69.88,73.4,69.5,70.8,2823223,201759504.0,9267,0.2101,0.115856491,951552000.0,4757760000,0.006,84.9351,67.33,49.4661,1,71.464
2,300033.XSHE,300033,同花顺,XSHE,2009-12-29,70.8,70.8,70.4,72.48,70.03,72.1,2134155,151742480.0,6715,0.1588,0.115856491,969024000.0,4845120000,0.0184,86.4946,68.5663,50.3744,1,71.102
3,300033.XSHE,300033,同花顺,XSHE,2009-12-30,72.1,72.1,71.78,72.44,70.46,70.68,1771074,126105360.0,5391,0.1318,0.115856491,949939200.0,4749696000,-0.0197,84.7911,67.2159,49.3823,1,71.203
4,300033.XSHE,300033,同花顺,XSHE,2009-12-31,70.68,70.68,70.6,71.71,70.06,70.86,1019272,72095040.0,3289,0.0758,0.115856491,952358400.0,4761792000,0.0025,63.7155,63.7155,4.6985,1,70.732
5,300033.XSHE,300033,同花顺,XSHE,2010-01-04,70.86,70.86,72.01,76.06,71.61,74.57,3627417,270247680.0,11290,0.2699,0.115856491,1002220800.0,5011104000,0.0524,67.0514,67.0514,4.9445,1,74.501
6,300033.XSHE,300033,同花顺,XSHE,2010-01-05,74.57,74.57,74.6,74.68,72.7,73.65,1775468,130424584.0,4991,0.1321,0.115856491,989856000.0,4949280000,-0.0123,66.2242,66.2242,4.8835,1,73.459
7,300033.XSHE,300033,同花顺,XSHE,2010-01-06,73.65,73.65,73.1,76.0,73.1,73.12,1714526,127669480.0,5236,0.1276,0.115856491,982732800.0,4913664000,-0.0072,65.7476,65.7476,4.8484,1,74.463
8,300033.XSHE,300033,同花顺,XSHE,2010-01-07,73.12,73.12,73.0,73.0,70.88,71.2,1387438,99786648.0,4152,0.1032,0.115856491,956928000.0,4784640000,-0.0263,64.0212,64.0212,4.7211,1,71.922
9,300033.XSHE,300033,同花顺,XSHE,2010-01-08,71.2,71.2,70.52,71.19,66.95,68.25,2182159,150317232.0,6351,0.1624,0.115856491,917280000.0,4586400000,-0.0414,61.3686,61.3686,4.5255,1,68.885
10,300033.XSHE,300033,同花顺,XSHE,2010-01-11,68.25,68.25,71.6,74.88,70.7,71.9,2430874,176287696.0,6287,0.1809,0.115856491,966336000.0,4831680000,0.0535,64.6506,64.6506,4.7675,1,72.52
11,300033.XSHE,300033,同花顺,XSHE,2010-01-12,71.9,71.9,71.18,73.99,71.18,72.69,1740600,127207584.0,4583,0.1295,0.115856491,976953600.0,4884768000,0.011,65.361,65.361,4.8199,1,73.083
12,300033.XSHE,300033,同花顺,XSHE,2010-01-13,72.69,72.69,71.17,79.6,71.0,76.95,2481989,186611728.0,7491,0.1847,0.115856491,1034208000.0,5171040000,0.0586,69.1915,69.1915,5.1023,1,75.186
13,300033.XSHE,300033,同花顺,XSHE,2010-01-14,76.95,76.95,76.89,80.8,76.88,77.95,1968590,155240784.0,5449,0.1465,0.115856491,1047648000.0,5238240000,0.013,70.0906,70.0906,5.1686,1,78.859
14,300033.XSHE,300033,同花顺,XSHE,2010-01-15,77.95,77.95,77.62,82.82,77.12,82.0,2222696,178811760.0,6210,0.1654,0.115856491,1102080000.0,5510400000,0.052,73.7323,73.7323,5.4372,1,80.448
15,300033.XSHE,300033,同花顺,XSHE,2010-01-18,82.0,82.0,82.71,84.97,80.52,82.16,1790863,147635296.0,4833,0.1332,0.115856491,1104230400.0,5521152000,0.002,73.8762,73.8762,5.4478,1,82.438
16,300033.XSHE,300033,同花顺,XSHE,2010-01-19,82.16,82.16,81.7,86.0,80.5,85.88,1963947,163762112.0,5681,0.1461,0.115856491,1154227200.0,5771136000,0.0453,77.2211,77.2211,5.6945,1,83.384
17,300033.XSHE,300033,同花顺,XSHE,2010-01-20,85.88,85.88,85.0,85.61,77.5,78.22,2320990,187881600.0,6323,0.1727,0.115856491,1051276800.0,5256384000,-0.0892,70.3334,70.3334,5.1865,1,80.949
18,300033.XSHE,300033,同花顺,XSHE,2010-01-21,78.22,78.22,78.22,82.49,78.22,81.22,1529881,123519872.0,4247,0.1138,0.115856491,1091596800.0,5457984000,0.0384,73.0309,73.0309,5.3855,1,80.738
