,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000002.XSHE,000002,深万科A,XSHE,1991-01-29,14.64,14.64,14.57,14.58,14.57,14.58,1500,21860.0,,0.0001,0.0104980618,253177326.0,602630474.4,-0.0041,,,1.8457,1,
1,000002.XSHE,000002,深万科A,XSHE,1991-01-30,14.58,14.58,14.51,14.51,14.51,14.51,8500,123335.0,,0.0005,0.0104980618,251961797.0,599737186.8,-0.0048,,,1.8369,1,
2,000002.XSHE,000002,深万科A,XSHE,1991-01-31,14.51,14.51,14.44,14.46,14.44,14.45,49000,707750.0,,0.0028,0.0104980618,250919915.0,597257226.0,-0.0041,,,1.8293,1,
3,000002.XSHE,000002,深万科A,XSHE,1991-02-01,14.45,14.45,14.45,14.52,14.45,14.52,24500,355565.0,,0.0014,0.0104980618,252135444.0,600150513.6,0.0048,,,1.8381,1,
4,000002.XSHE,000002,深万科A,XSHE,1991-02-04,14.59,14.52,14.66,14.66,14.66,14.66,28000,410480.0,,0.0016,0.0104980618,254566502.0,605937088.8,0.0048,,,1.8558,1,
5,000002.XSHE,000002,深万科A,XSHE,1991-02-05,14.66,14.66,14.73,14.73,14.73,14.73,14500,213585.0,,0.0008,0.0104980618,255782031.0,608830376.4,0.0048,,,1.8647,1,
6,000002.XSHE,000002,深万科A,XSHE,1991-02-06,14.73,14.73,14.8,14.8,14.8,14.8,14500,214600.0,,0.0008,0.0104980618,256997560.0,611723664.0,0.0048,,,1.8736,1,
7,000002.XSHE,000002,深万科A,XSHE,1991-02-07,14.8,14.8,14.87,14.87,14.87,14.87,24000,356880.0,,0.0014,0.0104980618,258213089.0,614616951.6,0.0047,,,1.8824,1,
8,000002.XSHE,000002,深万科A,XSHE,1991-02-08,14.87,14.87,14.94,14.94,14.94,14.94,33000,493020.0,,0.0019,0.0104980618,259428618.0,617510239.2,0.0047,,,1.8913,1,
9,000002.XSHE,000002,深万科A,XSHE,1991-02-11,15.01,14.94,15.09,15.09,15.09,15.09,165000,2489850.0,,0.0095,0.0104980618,262033323.0,623710141.2,0.0053,,,1.9103,1,
10,000002.XSHE,000002,深万科A,XSHE,1991-02-12,15.09,15.09,15.17,15.17,15.17,15.17,118000,1790060.0,,0.0068,0.0104980618,263422499.0,627016755.6,0.0053,,,1.9204,1,
11,000002.XSHE,000002,深万科A,XSHE,1991-02-13,15.17,15.17,15.25,15.25,15.25,15.25,16500,251625.0,,0.001,0.0104980618,264811675.0,630323370.0,0.0053,,,1.9305,1,
12,000002.XSHE,000002,深万科A,XSHE,1991-02-14,15.25,15.25,0.0,0.0,0.0,15.25,0,0.0,0.0,0.0,0.0104980618,264811675.0,630323370.0,0.0,,,1.9305,0,
13,000002.XSHE,000002,深万科A,XSHE,1991-02-19,15.25,15.25,0.0,0.0,0.0,15.25,0,0.0,0.0,0.0,0.0104980618,264811675.0,630323370.0,0.0,,,1.9305,0,
14,000002.XSHE,000002,深万科A,XSHE,1991-02-20,15.25,15.25,0.0,0.0,0.0,15.25,0,0.0,0.0,0.0,0.0104980618,264811675.0,630323370.0,0.0,,,1.9305,0,
15,000002.XSHE,000002,深万科A,XSHE,1991-02-21,15.25,15.25,0.0,0.0,0.0,15.25,0,0.0,0.0,0.0,0.0104980618,264811675.0,630323370.0,0.0,,,1.9305,0,
16,000002.XSHE,000002,深万科A,XSHE,1991-02-22,15.25,15.25,15.33,15.33,15.33,15.33,58000,889140.0,,0.0033,0.0104980618,266200851.0,633629984.4,0.0052,,,1.9407,1,
17,000002.XSHE,000002,深万科A,XSHE,1991-02-25,15.41,15.33,15.33,15.49,15.33,15.33,205000,3174170.0,,0.0118,0.0104980618,266200851.0,633629984.4,-0.0052,,,1.9407,1,
18,000002.XSHE,000002,深万科A,XSHE,1991-02-26,15.33,15.33,15.25,15.25,15.25,15.25,50000,762500.0,,0.0029,0.0104980618,264811675.0,630323370.0,-0.0052,,,1.9305,1,
19,000002.XSHE,000002,深万科A,XSHE,1991-02-27,15.25,15.25,15.17,15.17,15.17,15.17,129000,1956930.0,,0.0074,0.0104980618,263422499.0,627016755.6,-0.0052,,,1.9204,1,
20,000002.XSHE,000002,深万科A,XSHE,1991-02-28,15.17,15.17,15.09,15.09,15.09,15.09,23000,347070.0,,0.0013,0.0104980618,262033323.0,623710141.2,-0.0053,,,1.9103,1,
21,000002.XSHE,000002,深万科A,XSHE,1991-03-01,15.09,15.09,15.01,15.01,15.01,15.01,14000,210140.0,,0.0008,0.0104980618,260644147.0,620403526.8,-0.0053,,,1.9002,1,
22,000002.XSHE,000002,深万科A,XSHE,1991-03-04,14.93,15.01,14.86,14.86,14.86,14.86,15000,222900.0,,0.0009,0.0104980618,258039442.0,614203624.8,-0.0047,,,1.8812,1,
23,000002.XSHE,000002,深万科A,XSHE,1991-03-05,14.86,14.86,14.79,14.79,14.79,14.79,11000,162690.0,,0.0006,0.0104980618,256823913.0,611310337.2,-0.0047,,,1.8723,1,
24,000002.XSHE,000002,深万科A,XSHE,1991-03-06,14.79,14.79,14.72,14.72,14.72,14.72,10500,154560.0,,0.0006,0.0104980618,255608384.0,608417049.6,-0.0047,,,1.8634,1,
25,000002.XSHE,000002,深万科A,XSHE,1991-03-07,14.72,14.72,14.65,14.65,14.65,14.65,2500,36625.0,,0.0001,0.0104980618,254392855.0,605523762.0,-0.0048,,,1.8546,1,
26,000002.XSHE,000002,深万科A,XSHE,1991-03-08,14.65,14.65,14.58,14.58,14.58,14.58,5000,72900.0,,0.0003,0.0104980618,253177326.0,602630474.4,-0.0048,,,1.8457,1,
27,000002.XSHE,000002,深万科A,XSHE,1991-03-11,14.51,14.58,14.44,14.44,14.44,14.44,7500,108300.0,,0.0004,0.0104980618,250746268.0,596843899.2,-0.0048,,,1.828,1,
28,000002.XSHE,000002,深万科A,XSHE,1991-03-12,14.44,14.44,14.37,14.37,14.37,14.37,6500,93405.0,,0.0004,0.0104980618,249530739.0,593950611.6,-0.0048,,,1.8191,1,
29,000002.XSHE,000002,深万科A,XSHE,1991-03-13,14.37,14.37,14.3,14.3,14.3,14.3,19500,278850.0,,0.0011,0.0104980618,248315210.0,591057324.0,-0.0049,,,1.8103,1,
30,000002.XSHE,000002,深万科A,XSHE,1991-03-14,14.3,14.3,14.23,14.23,14.23,14.23,16000,227680.0,,0.0009,0.0104980618,247099681.0,588164036.4,-0.0049,,,1.8014,1,
31,000002.XSHE,000002,深万科A,XSHE,1991-03-15,14.23,14.23,14.16,14.16,14.16,14.16,6500,92040.0,,0.0004,0.0104980618,245884152.0,585270748.8,-0.0049,,,1.7925,1,
32,000002.XSHE,000002,深万科A,XSHE,1991-03-18,14.09,14.16,14.02,14.02,14.02,14.02,13000,182260.0,,0.0007,0.0104980618,243453094.0,579484173.6,-0.005,,,1.7748,1,
33,000002.XSHE,000002,深万科A,XSHE,1991-03-19,14.02,14.02,13.95,13.95,13.95,13.95,7500,104625.0,,0.0004,0.0104980618,242237565.0,576590886.0,-0.005,,,1.766,1,
34,000002.XSHE,000002,深万科A,XSHE,1991-03-20,13.95,13.95,13.88,13.88,13.88,13.88,9500,131860.0,,0.0005,0.0104980618,241022036.0,573697598.4,-0.005,,,1.7571,1,
35,000002.XSHE,000002,深万科A,XSHE,1991-03-21,13.88,13.88,13.81,13.81,13.81,13.81,6000,82860.0,,0.0003,0.0104980618,239806507.0,570804310.8,-0.005,,,1.7482,1,
36,000002.XSHE,000002,深万科A,XSHE,1991-03-22,13.81,13.81,13.74,13.74,13.74,13.74,5000,68700.0,,0.0003,0.0104980618,238590978.0,567911023.2,-0.0051,,,1.7394,1,
37,000002.XSHE,000002,深万科A,XSHE,1991-03-25,13.67,13.74,13.6,13.6,13.6,13.6,2000,27200.0,,0.0001,0.0104980618,236159920.0,562124448.0,-0.0051,,,1.7217,1,
38,000002.XSHE,000002,深万科A,XSHE,1991-03-26,13.6,13.6,13.53,13.53,13.53,13.53,2000,27060.0,,0.0001,0.0104980618,234944391.0,559231160.4,-0.0051,,,1.7128,1,
39,000002.XSHE,000002,深万科A,XSHE,1991-03-27,13.53,13.53,13.46,13.46,13.46,13.46,4500,60570.0,,0.0003,0.0104980618,233728862.0,556337872.8,-0.0052,,,1.7039,1,
40,000002.XSHE,000002,深万科A,XSHE,1991-03-28,13.46,13.46,13.39,13.39,13.39,13.39,2000,26780.0,,0.0001,0.0104980618,232513333.0,553444585.2,-0.0052,,,1.6951,1,
41,000002.XSHE,000002,深万科A,XSHE,1991-03-29,13.39,13.39,13.32,13.32,13.32,13.32,9000,119880.0,,0.0005,0.0104980618,231297804.0,550551297.6,-0.0052,,,1.6862,1,
42,000002.XSHE,000002,深万科A,XSHE,1991-04-01,13.25,13.32,13.18,13.18,13.18,13.18,6000,79080.0,,0.0003,0.0104980618,228866746.0,544764722.4,-0.0053,,,1.6685,1,
43,000002.XSHE,000002,深万科A,XSHE,1991-04-02,13.18,13.18,13.11,13.11,13.11,13.11,7000,91770.0,,0.0004,0.0104980618,227651217.0,541871434.8,-0.0053,,,1.6596,1,
44,000002.XSHE,000002,深万科A,XSHE,1991-04-03,13.11,13.11,13.04,13.04,13.04,13.04,5500,71720.0,,0.0003,0.0104980618,226435688.0,538978147.2,-0.0053,,,1.6508,1,
45,000002.XSHE,000002,深万科A,XSHE,1991-04-04,13.04,13.04,12.97,12.97,12.97,12.97,3500,45395.0,,0.0002,0.0104980618,225220159.0,536084859.6,-0.0054,,,1.6419,1,
46,000002.XSHE,000002,深万科A,XSHE,1991-04-05,12.97,12.97,12.91,12.91,12.91,12.91,7000,90370.0,,0.0004,0.0104980618,224178277.0,533604898.8,-0.0046,,,1.6343,1,
47,000002.XSHE,000002,深万科A,XSHE,1991-04-08,12.85,12.91,12.79,12.79,12.79,12.79,1000,12790.0,,0.0001,0.0104980618,222094513.0,528644977.2,-0.0047,,,1.6191,1,
48,000002.XSHE,000002,深万科A,XSHE,1991-04-09,12.79,12.79,12.73,12.73,12.73,12.73,500,6365.0,,0.0,0.0104980618,221052631.0,526165016.4,-0.0047,,,1.6115,1,
49,000002.XSHE,000002,深万科A,XSHE,1991-04-10,12.73,12.73,12.67,12.67,12.67,12.67,2000,25340.0,,0.0001,0.0104980618,220010749.0,523685055.6,-0.0047,,,1.6039,1,
50,000002.XSHE,000002,深万科A,XSHE,1991-04-11,12.67,12.67,12.61,12.61,12.61,12.61,1000,12610.0,,0.0001,0.0104980618,218968867.0,521205094.8,-0.0047,,,1.5963,1,
