,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000005.XSHE,000005,深原野A,XSHE,1991-01-02,18.21,18.21,18.21,18.3,18.21,18.21,50500,920640.0,,0.0011,0.1016459912,807404085.0,1638900000.0,0.0,,,25.753,1,
1,000005.XSHE,000005,深原野A,XSHE,1991-01-03,18.21,18.21,18.12,18.12,18.12,18.12,11000,199320.0,,0.0002,0.1016459912,803413620.0,1630800000.0,-0.0049,,,25.6257,1,
2,000005.XSHE,000005,深原野A,XSHE,1991-01-04,18.12,18.12,18.03,18.03,18.03,18.03,20500,369615.0,,0.0005,0.1016459912,799423155.0,1622700000.0,-0.005,,,25.4985,1,
3,000005.XSHE,000005,深原野A,XSHE,1991-01-07,17.94,18.03,17.85,17.85,17.85,17.85,10500,187425.0,,0.0002,0.1016459912,791442225.0,1606500000.0,-0.005,,,25.2439,1,
4,000005.XSHE,000005,深原野A,XSHE,1991-01-08,17.85,17.85,17.76,17.76,17.76,17.76,11000,195360.0,,0.0002,0.1016459912,787451760.0,1598400000.0,-0.005,,,25.1166,1,
5,000005.XSHE,000005,深原野A,XSHE,1991-01-09,17.76,17.76,17.67,17.67,17.67,17.67,14500,256215.0,,0.0003,0.1016459912,783461295.0,1590300000.0,-0.0051,,,24.9893,1,
6,000005.XSHE,000005,深原野A,XSHE,1991-01-10,17.67,17.67,17.58,17.58,17.58,17.58,6500,114270.0,,0.0001,0.1016459912,779470830.0,1582200000.0,-0.0051,,,24.8621,1,
7,000005.XSHE,000005,深原野A,XSHE,1991-01-11,17.58,17.58,17.49,17.49,17.49,17.49,500,8745.0,,0.0,0.1016459912,775480365.0,1574100000.0,-0.0051,,,24.7348,1,
8,000005.XSHE,000005,深原野A,XSHE,1991-01-14,17.4,17.49,0.0,0.0,0.0,17.4,0,0.0,0.0,0.0,0.1016459912,771489900.0,1566000000.0,0.0,,,24.6075,0,
9,000005.XSHE,000005,深原野A,XSHE,1991-01-15,17.31,17.4,17.22,17.22,17.22,17.22,1500,25830.0,,0.0,0.1016459912,763508970.0,1549800000.0,-0.0052,,,24.3529,1,
10,000005.XSHE,000005,深原野A,XSHE,1991-01-16,17.22,17.22,17.13,17.13,17.13,17.13,500,8565.0,,0.0,0.1016459912,759518505.0,1541700000.0,-0.0052,,,24.2257,1,
11,000005.XSHE,000005,深原野A,XSHE,1991-01-17,17.13,17.13,17.04,17.04,17.04,17.04,2000,34080.0,,0.0,0.1016459912,755528040.0,1533600000.0,-0.0053,,,24.0984,1,
12,000005.XSHE,000005,深原野A,XSHE,1991-01-18,17.04,17.04,0.0,0.0,0.0,17.04,0,0.0,0.0,0.0,0.1016459912,755528040.0,1533600000.0,0.0,,,24.0984,0,
13,000005.XSHE,000005,深原野A,XSHE,1991-01-21,16.87,17.04,16.79,16.79,16.79,16.79,500,8395.0,,0.0,0.1016459912,744443415.0,1511100000.0,-0.0047,,,23.7448,1,
14,000005.XSHE,000005,深原野A,XSHE,1991-01-22,16.79,16.79,16.71,16.71,16.71,16.71,2000,33420.0,,0.0,0.1016459912,740896335.0,1503900000.0,-0.0048,,,23.6317,1,
15,000005.XSHE,000005,深原野A,XSHE,1991-01-23,16.71,16.71,16.63,16.63,16.63,16.63,5000,83150.0,,0.0001,0.1016459912,737349255.0,1496700000.0,-0.0048,,,23.5186,1,
16,000005.XSHE,000005,深原野A,XSHE,1991-01-24,16.63,16.63,16.55,16.55,16.55,16.55,1500,24825.0,,0.0,0.1016459912,733802175.0,1489500000.0,-0.0048,,,23.4054,1,
17,000005.XSHE,000005,深原野A,XSHE,1991-01-25,16.55,16.55,16.47,16.47,16.47,16.47,3000,49410.0,,0.0001,0.1016459912,730255095.0,1482300000.0,-0.0048,,,23.2923,1,
18,000005.XSHE,000005,深原野A,XSHE,1991-01-28,16.39,16.47,16.31,16.31,16.31,16.31,2500,40775.0,,0.0001,0.1016459912,723160935.0,1467900000.0,-0.0049,,,23.066,1,
