,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000001.XSHE,000001,深发展A,XSHE,1991-04-03,43.7,43.7,49.0,49.0,49.0,49.0,100,4900.0,,0.0,0.0112465844,2250300500.0,3327100000.0,0.1213,,,4.6469,1,
1,000001.XSHE,000001,深发展A,XSHE,1991-04-04,49.0,49.0,48.76,48.76,48.76,48.76,300,14628.0,,0.0,0.0112465844,2239278620.0,3310804000.0,-0.0049,,,4.6241,1,
2,000001.XSHE,000001,深发展A,XSHE,1991-04-05,48.76,48.76,48.52,48.52,48.52,48.52,200,9704.0,,0.0,0.0112465844,2228256740.0,3294508000.0,-0.0049,,,4.6014,1,
3,000001.XSHE,000001,深发展A,XSHE,1991-04-08,48.28,48.52,48.04,48.04,48.04,48.04,200,9608.0,,0.0,0.0112465844,2206212980.0,3261916000.0,-0.005,,,4.5559,1,
4,000001.XSHE,000001,深发展A,XSHE,1991-04-09,48.04,48.04,47.8,47.8,47.8,47.8,400,19120.0,,0.0,0.0112465844,2195191100.0,3245620000.0,-0.005,,,4.5331,1,
5,000001.XSHE,000001,深发展A,XSHE,1991-04-10,47.8,47.8,47.56,47.56,47.56,47.56,1500,71340.0,,0.0,0.0112465844,2184169220.0,3229324000.0,-0.005,,,4.5103,1,
6,000001.XSHE,000001,深发展A,XSHE,1991-04-11,47.56,47.56,0.0,0.0,0.0,47.56,0,0.0,0.0,0.0,0.0112465844,2184169220.0,3229324000.0,0.0,,,4.5103,0,
7,000001.XSHE,000001,深发展A,XSHE,1991-04-12,47.32,47.56,47.08,47.08,47.08,47.08,800,37664.0,,0.0,0.0112465844,2162125460.0,3196732000.0,-0.0051,,,4.4648,1,
8,000001.XSHE,000001,深发展A,XSHE,1991-04-15,46.84,47.08,0.0,0.0,0.0,46.84,0,0.0,0.0,0.0,0.0112465844,2151103580.0,3180436000.0,0.0,,,4.4421,0,
9,000001.XSHE,000001,深发展A,XSHE,1991-04-16,46.61,46.84,46.38,46.38,46.38,46.38,200,9276.0,,0.0,0.0112465844,2129978310.0,3149202000.0,-0.0049,,,4.3984,1,
10,000001.XSHE,000001,深发展A,XSHE,1991-04-17,46.38,46.38,46.15,46.15,46.15,46.15,100,4615.0,,0.0,0.0112465844,2119415675.0,3133585000.0,-0.005,,,4.3766,1,
11,000001.XSHE,000001,深发展A,XSHE,1991-04-18,46.15,46.15,45.92,45.92,45.92,45.92,400,18368.0,,0.0,0.0112465844,2108853040.0,3117968000.0,-0.005,,,4.3548,1,
12,000001.XSHE,000001,深发展A,XSHE,1991-04-19,45.92,45.92,45.69,45.69,45.69,45.69,200,9138.0,,0.0,0.0112465844,2098290405.0,3102351000.0,-0.005,,,4.333,1,
13,000001.XSHE,000001,深发展A,XSHE,1991-04-22,45.46,45.69,0.0,0.0,0.0,45.46,0,0.0,0.0,0.0,0.0112465844,2087727770.0,3086734000.0,0.0,,,4.3112,0,
14,000001.XSHE,000001,深发展A,XSHE,1991-04-23,45.23,45.46,45.0,45.0,45.0,45.0,2800,126000.0,,0.0001,0.0112465844,2066602500.0,3055500000.0,-0.0051,,,4.2676,1,
15,000001.XSHE,000001,深发展A,XSHE,1991-04-24,45.0,45.0,44.78,44.78,44.78,44.78,1600,71648.0,,0.0,0.0112465844,2056499110.0,3040562000.0,-0.0049,,,4.2467,1,
16,000001.XSHE,000001,深发展A,XSHE,1991-04-25,44.78,44.78,44.56,44.56,44.56,44.56,1500,66840.0,,0.0,0.0112465844,2046395720.0,3025624000.0,-0.0049,,,4.2258,1,
17,000001.XSHE,000001,深发展A,XSHE,1991-04-26,44.56,44.56,44.34,44.34,44.34,44.34,800,35472.0,,0.0,0.0112465844,2036292330.0,3010686000.0,-0.0049,,,4.205,1,
18,000001.XSHE,000001,深发展A,XSHE,1991-04-29,44.12,44.34,43.9,43.9,43.9,43.9,400,17560.0,,0.0,0.0112465844,2016085550.0,2980810000.0,-0.005,,,4.1632,1,
19,000001.XSHE,000001,深发展A,XSHE,1991-04-30,43.9,43.9,43.68,43.68,43.68,43.68,200,8736.0,,0.0,0.0112465844,2005982160.0,2965872000.0,-0.005,,,4.1424,1,
20,000001.XSHE,000001,深发展A,XSHE,1991-05-02,43.68,43.68,43.46,43.46,43.46,43.46,200,8692.0,,0.0,0.0112465844,1995878770.0,2950934000.0,-0.005,,,4.1215,1,
21,000001.XSHE,000001,深发展A,XSHE,1991-05-03,43.46,43.46,43.24,43.24,43.24,43.24,300,12972.0,,0.0,0.0112465844,1985775380.0,2935996000.0,-0.0051,,,4.1007,1,
22,000001.XSHE,000001,深发展A,XSHE,1991-05-06,43.02,43.24,42.8,42.8,42.8,42.8,900,38520.0,,0.0,0.0112465844,1965568600.0,2906120000.0,-0.0051,,,4.0589,1,
23,000001.XSHE,000001,深发展A,XSHE,1991-05-07,42.8,42.8,42.59,42.59,42.59,42.59,200,8518.0,,0.0,0.0112465844,1955924455.0,2891861000.0,-0.0049,,,4.039,1,
24,000001.XSHE,000001,深发展A,XSHE,1991-05-08,42.59,42.59,42.38,42.38,42.38,42.38,10900,461942.0,,0.0002,0.0112465844,1946280310.0,2877602000.0,-0.0049,,,4.0191,1,
25,000001.XSHE,000001,深发展A,XSHE,1991-05-09,42.38,42.38,42.17,42.17,42.17,42.17,1500,63255.0,,0.0,0.0112465844,1936636165.0,2863343000.0,-0.005,,,3.9992,1,
26,000001.XSHE,000001,深发展A,XSHE,1991-05-10,42.17,42.17,41.96,41.96,41.96,41.96,2000,83920.0,,0.0,0.0112465844,1926992020.0,2849084000.0,-0.005,,,3.9793,1,
27,000001.XSHE,000001,深发展A,XSHE,1991-05-13,41.75,41.96,41.54,41.54,41.54,41.54,1900,78926.0,,0.0,0.0112465844,1907703730.0,2820566000.0,-0.005,,,3.9394,1,
28,000001.XSHE,000001,深发展A,XSHE,1991-05-14,41.54,41.54,41.33,41.33,41.33,41.33,5500,227315.0,,0.0001,0.0112465844,1898059585.0,2806307000.0,-0.0051,,,3.9195,1,
29,000001.XSHE,000001,深发展A,XSHE,1991-05-15,41.33,41.33,41.12,41.12,41.12,41.12,38700,1591344.0,,0.0008,0.0112465844,1888415440.0,2792048000.0,-0.0051,,,3.8996,1,
30,000001.XSHE,000001,深发展A,XSHE,1991-05-16,41.12,41.12,40.91,40.91,40.91,40.91,49300,2016863.0,,0.0011,0.0112465844,1878771295.0,2777789000.0,-0.0051,,,3.8797,1,
31,000001.XSHE,000001,深发展A,XSHE,1991-05-17,40.91,40.91,40.71,40.71,40.71,40.71,41900,1705749.0,,0.0009,0.0112465844,1869586395.0,2764209000.0,-0.0049,,,3.8607,1,
32,000001.XSHE,000001,深发展A,XSHE,1991-05-20,40.51,40.71,40.31,40.31,40.31,40.31,5100,205581.0,,0.0001,0.0112465844,1851216595.0,2737049000.0,-0.0049,,,3.8228,1,
33,000001.XSHE,000001,深发展A,XSHE,1991-05-21,40.31,40.31,40.11,40.11,40.11,40.11,6300,252693.0,,0.0001,0.0112465844,1842031695.0,2723469000.0,-0.005,,,3.8038,1,
34,000001.XSHE,000001,深发展A,XSHE,1991-05-22,40.11,40.11,39.91,39.91,39.91,39.91,4300,171613.0,,0.0001,0.0112465844,1832846795.0,2709889000.0,-0.005,,,3.7849,1,
35,000001.XSHE,000001,深发展A,XSHE,1991-05-23,39.91,39.91,39.71,39.71,39.71,39.71,1700,67507.0,,0.0,0.0112465844,1823661895.0,2696309000.0,-0.005,,,3.7659,1,
36,000001.XSHE,000001,深发展A,XSHE,1991-05-24,39.71,39.71,39.51,39.51,39.51,39.51,300,11853.0,,0.0,0.0112465844,1814476995.0,2682729000.0,-0.005,,,3.7469,1,
37,000001.XSHE,000001,深发展A,XSHE,1991-05-27,39.31,39.51,39.11,39.11,39.11,39.11,500,19555.0,,0.0,0.0112465844,1796107195.0,2655569000.0,-0.0051,,,3.709,1,
38,000001.XSHE,000001,深发展A,XSHE,1991-05-28,39.11,39.11,38.91,38.91,38.91,38.91,300,11673.0,,0.0,0.0112465844,1786922295.0,2641989000.0,-0.0051,,,3.69,1,
39,000001.XSHE,000001,深发展A,XSHE,1991-05-29,38.91,38.91,38.72,38.72,38.72,38.72,3600,139392.0,,0.0001,0.0112465844,1778196640.0,2629088000.0,-0.0049,,,3.672,1,
40,000001.XSHE,000001,深发展A,XSHE,1991-05-30,38.72,38.72,38.53,38.53,38.53,38.53,1400,53942.0,,0.0,0.0112465844,1769470985.0,2616187000.0,-0.0049,,,3.654,1,
41,000001.XSHE,000001,深发展A,XSHE,1991-05-31,38.53,38.53,38.34,38.34,38.34,38.34,100,3834.0,,0.0,0.0112465844,1760745330.0,2603286000.0,-0.0049,,,3.636,1,
42,000001.XSHE,000001,深发展A,XSHE,1991-06-03,38.15,38.34,37.96,37.96,37.96,37.96,700,26572.0,,0.0,0.0112465844,1743294020.0,2577484000.0,-0.005,,,3.5999,1,
43,000001.XSHE,000001,深发展A,XSHE,1991-06-04,37.96,37.96,37.77,37.77,37.77,37.77,100,3777.0,,0.0,0.0112465844,1734568365.0,2564583000.0,-0.005,,,3.5819,1,
44,000001.XSHE,000001,深发展A,XSHE,1991-06-05,37.77,37.77,0.0,0.0,0.0,37.77,0,0.0,0.0,0.0,0.0112465844,1734568365.0,2564583000.0,0.0,,,3.5819,0,
45,000001.XSHE,000001,深发展A,XSHE,1991-06-06,37.58,37.77,37.39,37.39,37.39,37.39,400,14956.0,,0.0,0.0112465844,1717117055.0,2538781000.0,-0.0051,,,3.5459,1,
46,000001.XSHE,000001,深发展A,XSHE,1991-06-07,37.39,37.39,37.2,37.2,37.2,37.2,100,3720.0,,0.0,0.0112465844,1708391400.0,2525880000.0,-0.0051,,,3.5279,1,
47,000001.XSHE,000001,深发展A,XSHE,1991-06-10,37.01,37.2,36.82,36.82,36.82,36.82,1500,55230.0,,0.0,0.0112465844,1690940090.0,2500078000.0,-0.0051,,,3.4918,1,
48,000001.XSHE,000001,深发展A,XSHE,1991-06-11,36.82,36.82,36.64,36.64,36.64,36.64,1200,43968.0,,0.0,0.0112465844,1682673680.0,2487856000.0,-0.0049,,,3.4747,1,
49,000001.XSHE,000001,深发展A,XSHE,1991-06-12,36.64,36.64,36.46,36.46,36.46,36.46,1500,54690.0,,0.0,0.0112465844,1674407270.0,2475634000.0,-0.0049,,,3.4577,1,
50,000001.XSHE,000001,深发展A,XSHE,1991-06-13,36.46,36.46,36.28,36.28,36.28,36.28,3400,123352.0,,0.0001,0.0112465844,1666140860.0,2463412000.0,-0.0049,,,3.4406,1,
51,000001.XSHE,000001,深发展A,XSHE,1991-06-14,36.28,36.28,36.1,36.1,36.1,36.1,700,25270.0,,0.0,0.0112465844,1657874450.0,2451190000.0,-0.005,,,3.4235,1,
52,000001.XSHE,000001,深发展A,XSHE,1991-06-17,35.92,36.1,35.74,35.74,35.74,35.74,500,17870.0,,0.0,0.0112465844,1641341630.0,2426746000.0,-0.005,,,3.3894,1,
53,000001.XSHE,000001,深发展A,XSHE,1991-06-18,35.74,35.74,35.56,35.56,35.56,35.56,1000,35560.0,,0.0,0.0112465844,1633075220.0,2414524000.0,-0.005,,,3.3723,1,
54,000001.XSHE,000001,深发展A,XSHE,1991-06-19,35.56,35.56,35.38,35.38,35.38,35.38,5700,201666.0,,0.0001,0.0112465844,1624808810.0,2402302000.0,-0.0051,,,3.3553,1,
55,000001.XSHE,000001,深发展A,XSHE,1991-06-20,35.38,35.38,35.2,35.2,35.2,35.2,3000,105600.0,,0.0001,0.0112465844,1616542400.0,2390080000.0,-0.0051,,,3.3382,1,
56,000001.XSHE,000001,深发展A,XSHE,1991-06-21,35.2,35.2,35.02,35.02,35.02,35.02,200,7004.0,,0.0,0.0112465844,1608275990.0,2377858000.0,-0.0051,,,3.3211,1,
57,000001.XSHE,000001,深发展A,XSHE,1991-06-24,34.84,35.02,34.67,34.67,34.67,34.67,2500,86675.0,,0.0001,0.0112465844,1592202415.0,2354093000.0,-0.0049,,,3.2879,1,
58,000001.XSHE,000001,深发展A,XSHE,1991-06-25,34.67,34.67,34.5,34.5,34.5,34.5,1200,41400.0,,0.0,0.0112465844,1584395250.0,2342550000.0,-0.0049,,,3.2718,1,
59,000001.XSHE,000001,深发展A,XSHE,1991-06-26,34.5,34.5,34.33,34.33,34.33,34.33,400,13732.0,,0.0,0.0112465844,1576588085.0,2331007000.0,-0.0049,,,3.2557,1,
60,000001.XSHE,000001,深发展A,XSHE,1991-06-27,34.33,34.33,34.16,34.16,34.16,34.16,400,13664.0,,0.0,0.0112465844,1568780920.0,2319464000.0,-0.005,,,3.2396,1,
61,000001.XSHE,000001,深发展A,XSHE,1991-06-28,34.16,34.16,33.99,33.99,33.99,33.99,200,6798.0,,0.0,0.0112465844,1560973755.0,2307921000.0,-0.005,,,3.2234,1,
62,000001.XSHE,000001,深发展A,XSHE,1991-07-01,33.82,33.99,33.65,33.65,33.65,33.65,200,6730.0,,0.0,0.0112465844,1545359425.0,2284835000.0,-0.005,,,3.1912,1,
63,000001.XSHE,000001,深发展A,XSHE,1991-07-02,33.65,33.65,33.48,33.48,33.48,33.48,200,6696.0,,0.0,0.0112465844,1537552260.0,2273292000.0,-0.0051,,,3.1751,1,
64,000001.XSHE,000001,深发展A,XSHE,1991-07-03,33.48,33.48,0.0,0.0,0.0,33.48,0,0.0,0.0,0.0,0.0112465844,1537552260.0,2273292000.0,0.0,,,3.1751,0,
65,000001.XSHE,000001,深发展A,XSHE,1991-07-04,33.31,33.48,33.14,33.14,33.14,33.14,1100,36454.0,,0.0,0.0112465844,1521937930.0,2250206000.0,-0.0051,,,3.1428,1,
66,000001.XSHE,000001,深发展A,XSHE,1991-07-05,33.14,33.14,32.97,32.97,32.97,32.97,200,6594.0,,0.0,0.0112465844,1514130765.0,2238663000.0,-0.0051,,,3.1267,1,
67,000001.XSHE,000001,深发展A,XSHE,1991-07-08,32.81,32.97,32.65,32.65,32.65,32.65,900,29385.0,,0.0,0.0112465844,1499434925.0,2216935000.0,-0.0049,,,3.0964,1,
68,000001.XSHE,000001,深发展A,XSHE,1991-07-09,32.65,32.65,0.0,0.0,0.0,32.65,0,0.0,0.0,0.0,0.0112465844,1499434925.0,2216935000.0,0.0,,,3.0964,0,
69,000001.XSHE,000001,深发展A,XSHE,1991-07-10,32.49,32.65,32.33,32.33,32.33,32.33,600,19398.0,,0.0,0.0112465844,1484739085.0,2195207000.0,-0.0049,,,3.066,1,
70,000001.XSHE,000001,深发展A,XSHE,1991-07-11,32.33,32.33,32.17,32.17,32.17,32.17,100,3217.0,,0.0,0.0112465844,1477391165.0,2184343000.0,-0.0049,,,3.0508,1,
71,000001.XSHE,000001,深发展A,XSHE,1991-07-12,32.17,32.17,0.0,0.0,0.0,32.17,0,0.0,0.0,0.0,0.0112465844,1477391165.0,2184343000.0,0.0,,,3.0508,0,
72,000001.XSHE,000001,深发展A,XSHE,1991-07-15,31.85,32.17,31.69,31.69,31.69,31.69,400,12676.0,,0.0,0.0112465844,1455347405.0,2151751000.0,-0.005,,,3.0053,1,
73,000001.XSHE,000001,深发展A,XSHE,1991-07-16,31.69,31.69,0.0,0.0,0.0,31.69,0,0.0,0.0,0.0,0.0112465844,1455347405.0,2151751000.0,0.0,,,3.0053,0,
74,000001.XSHE,000001,深发展A,XSHE,1991-07-17,31.69,31.69,0.0,0.0,0.0,31.69,0,0.0,0.0,0.0,0.0112465844,1455347405.0,2151751000.0,0.0,,,3.0053,0,
75,000001.XSHE,000001,深发展A,XSHE,1991-07-18,31.69,31.69,0.0,0.0,0.0,31.69,0,0.0,0.0,0.0,0.0112465844,1455347405.0,2151751000.0,0.0,,,3.0053,0,
76,000001.XSHE,000001,深发展A,XSHE,1991-07-19,31.21,31.69,31.05,31.05,31.05,31.05,100,3105.0,,0.0,0.0112465844,1425955725.0,2108295000.0,-0.0051,,,2.9446,1,
77,000001.XSHE,000001,深发展A,XSHE,1991-07-22,30.89,31.05,0.0,0.0,0.0,30.89,0,0.0,0.0,0.0,0.0112465844,1418607805.0,2097431000.0,0.0,,,2.9294,0,
78,000001.XSHE,000001,深发展A,XSHE,1991-07-23,30.89,30.89,0.0,0.0,0.0,30.89,0,0.0,0.0,0.0,0.0112465844,1418607805.0,2097431000.0,0.0,,,2.9294,0,
79,000001.XSHE,000001,深发展A,XSHE,1991-07-24,30.59,30.89,30.44,30.44,30.44,30.44,200,6088.0,,0.0,0.0112465844,1397941780.0,2066876000.0,-0.0049,,,2.8868,1,
80,000001.XSHE,000001,深发展A,XSHE,1991-07-25,30.44,30.44,0.0,0.0,0.0,30.44,0,0.0,0.0,0.0,0.0112465844,1397941780.0,2066876000.0,0.0,,,2.8868,0,
