,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000004.XSHE,000004,深安达A,XSHE,1991-01-14,16.06,16.06,15.98,15.98,15.98,15.98,500,7990.0,,0.0001,0.1521814615,90326950.0,199750000.0,-0.005,,,16.468,1,
1,000004.XSHE,000004,深安达A,XSHE,1991-01-15,15.98,15.98,15.9,15.9,15.9,15.9,500,7950.0,,0.0001,0.1521814615,89874750.0,198750000.0,-0.005,,,16.3856,1,
2,000004.XSHE,000004,深安达A,XSHE,1991-01-16,15.9,15.9,0.0,0.0,0.0,15.9,0,0.0,0.0,0.0,0.1521814615,89874750.0,198750000.0,0.0,,,16.3856,0,
3,000004.XSHE,000004,深安达A,XSHE,1991-01-17,15.82,15.9,15.74,15.74,15.74,15.74,500,7870.0,,0.0001,0.1521814615,88970350.0,196750000.0,-0.0051,,,16.2207,1,
4,000004.XSHE,000004,深安达A,XSHE,1991-01-18,15.74,15.74,0.0,0.0,0.0,15.74,0,0.0,0.0,0.0,0.1521814615,88970350.0,196750000.0,0.0,,,16.2207,0,
5,000004.XSHE,000004,深安达A,XSHE,1991-01-21,15.58,15.74,0.0,0.0,0.0,15.58,0,0.0,0.0,0.0,0.1521814615,88065950.0,194750000.0,0.0,,,16.0558,0,
6,000004.XSHE,000004,深安达A,XSHE,1991-01-22,15.5,15.58,15.42,15.42,15.42,15.42,1000,15420.0,,0.0002,0.1521814615,87161550.0,192750000.0,-0.0052,,,15.8909,1,
7,000004.XSHE,000004,深安达A,XSHE,1991-01-23,15.42,15.42,15.34,15.34,15.34,15.34,1500,23010.0,,0.0003,0.1521814615,86709350.0,191750000.0,-0.0052,,,15.8085,1,
8,000004.XSHE,000004,深安达A,XSHE,1991-01-24,15.34,15.34,0.0,0.0,0.0,15.34,0,0.0,0.0,0.0,0.1521814615,86709350.0,191750000.0,0.0,,,15.8085,0,
9,000004.XSHE,000004,深安达A,XSHE,1991-01-25,15.34,15.34,0.0,0.0,0.0,15.34,0,0.0,0.0,0.0,0.1521814615,86709350.0,191750000.0,0.0,,,15.8085,0,
10,000004.XSHE,000004,深安达A,XSHE,1991-01-28,15.34,15.34,0.0,0.0,0.0,15.34,0,0.0,0.0,0.0,0.1521814615,86709350.0,191750000.0,0.0,,,15.8085,0,
11,000004.XSHE,000004,深安达A,XSHE,1991-01-29,15.02,15.34,14.94,14.94,14.94,14.94,1500,22410.0,,0.0003,0.1521814615,84448350.0,186750000.0,-0.0053,,,15.3963,1,
12,000004.XSHE,000004,深安达A,XSHE,1991-01-30,14.94,14.94,14.87,14.87,14.87,14.87,3000,44610.0,,0.0005,0.1521814615,84052675.0,185875000.0,-0.0047,,,15.3241,1,
13,000004.XSHE,000004,深安达A,XSHE,1991-01-31,14.87,14.87,14.8,14.8,14.8,14.8,3500,51800.0,,0.0006,0.1521814615,83657000.0,185000000.0,-0.0047,,,15.252,1,
14,000004.XSHE,000004,深安达A,XSHE,1991-02-01,14.8,14.8,14.77,14.77,14.73,14.73,9500,139955.0,,0.0017,0.1521814615,83261325.0,184125000.0,-0.0047,,,15.1799,1,
