,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000009.XSHE,000009,深宝安A,XSHE,1991-06-25,4.3,4.3,4.3,5.0,4.3,4.6,409600,1972160.0,,0.0045,0.0848031119,419796000.0,1035138000.0,0.0698,,,1.9602,1,
1,000009.XSHE,000009,深宝安A,XSHE,1991-06-26,4.6,4.6,4.6,4.8,4.5,4.75,402700,1861150.0,,0.0044,0.0848031119,433485000.0,1068892500.0,0.0326,,,2.0242,1,
2,000009.XSHE,000009,深宝安A,XSHE,1991-06-27,4.75,4.75,4.7,4.8,4.55,4.8,511000,2379705.0,,0.0056,0.0848031119,438048000.0,1080144000.0,0.0105,,,2.0455,1,
3,000009.XSHE,000009,深宝安A,XSHE,1991-06-28,4.8,4.8,4.8,4.8,4.6,4.75,658600,3099165.0,,0.0072,0.0848031119,433485000.0,1068892500.0,-0.0104,,,2.0242,1,
4,000009.XSHE,000009,深宝安A,XSHE,1991-07-01,4.8,4.75,4.7,4.7,4.6,4.65,559800,2618255.0,,0.0061,0.0848031119,424359000.0,1046389500.0,-0.0313,,,1.9815,1,
5,000009.XSHE,000009,深宝安A,XSHE,1991-07-02,4.65,4.65,4.6,4.7,4.3,4.35,349000,1588440.0,,0.0038,0.0848031119,396981000.0,978880500.0,-0.0645,,,1.8537,1,
6,000009.XSHE,000009,深宝安A,XSHE,1991-07-03,4.35,4.35,4.4,4.45,4.2,4.35,511400,2208520.0,,0.0056,0.0848031119,396981000.0,978880500.0,0.0,,,1.8537,1,
7,000009.XSHE,000009,深宝安A,XSHE,1991-07-04,4.35,4.35,4.35,4.35,4.25,4.25,221100,950790.0,,0.0024,0.0848031119,387855000.0,956377500.0,-0.023,,,1.8111,1,
8,000009.XSHE,000009,深宝安A,XSHE,1991-07-05,4.25,4.25,4.3,4.3,3.9,4.0,237800,961630.0,,0.0026,0.0848031119,365040000.0,900120000.0,-0.0588,,,1.7046,1,
9,000009.XSHE,000009,深宝安A,XSHE,1991-07-08,3.75,4.0,3.75,3.75,3.4,3.6,413300,1450455.0,,0.0045,0.0848031119,328536000.0,810108000.0,-0.04,,,1.5341,1,
10,000009.XSHE,000009,深宝安A,XSHE,1991-07-09,3.6,3.6,3.6,3.6,3.2,3.3,567700,1908115.0,,0.0062,0.0848031119,301158000.0,742599000.0,-0.0833,,,1.4063,1,
11,000009.XSHE,000009,深宝安A,XSHE,1991-07-10,3.3,3.3,3.3,3.35,3.2,3.3,371900,1217925.0,,0.0041,0.0848031119,301158000.0,742599000.0,0.0,,,1.4063,1,
12,000009.XSHE,000009,深宝安A,XSHE,1991-07-11,3.3,3.3,3.35,3.4,3.3,3.4,221100,743715.0,,0.0024,0.0848031119,310284000.0,765102000.0,0.0303,,,1.4489,1,
13,000009.XSHE,000009,深宝安A,XSHE,1991-07-12,3.4,3.4,3.35,3.4,3.3,3.35,444100,1490860.0,,0.0049,0.0848031119,305721000.0,753850500.0,-0.0147,,,1.4276,1,
14,000009.XSHE,000009,深宝安A,XSHE,1991-07-15,3.4,3.35,3.4,3.4,3.2,3.3,290700,963675.0,,0.0032,0.0848031119,301158000.0,742599000.0,-0.0294,,,1.4063,1,
15,000009.XSHE,000009,深宝安A,XSHE,1991-07-16,3.3,3.3,3.3,3.35,3.1,3.1,259700,850895.0,,0.0028,0.0848031119,282906000.0,697593000.0,-0.0606,,,1.321,1,
16,000009.XSHE,000009,深宝安A,XSHE,1991-07-17,3.1,3.1,3.2,3.25,3.15,3.15,300200,950860.0,,0.0033,0.0848031119,287469000.0,708844500.0,0.0161,,,1.3423,1,
17,000009.XSHE,000009,深宝安A,XSHE,1991-07-18,3.15,3.15,3.15,3.65,3.15,3.65,122100,417125.0,,0.0013,0.0848031119,333099000.0,821359500.0,0.1587,,,1.5554,1,
18,000009.XSHE,000009,深宝安A,XSHE,1991-07-19,3.65,3.65,3.75,4.5,3.75,4.05,333600,1385655.0,,0.0037,0.0848031119,369603000.0,911371500.0,0.1096,,,1.7259,1,
19,000009.XSHE,000009,深宝安A,XSHE,1991-07-22,3.65,4.05,3.8,3.8,3.6,3.75,319900,1193840.0,,0.0035,0.0848031119,342225000.0,843862500.0,0.0274,,,1.598,1,
20,000009.XSHE,000009,深宝安A,XSHE,1991-07-23,3.75,3.75,3.65,3.7,3.5,3.7,193400,700385.0,,0.0021,0.0848031119,337662000.0,832611000.0,-0.0133,,,1.5767,1,
21,000009.XSHE,000009,深宝安A,XSHE,1991-07-24,3.7,3.7,3.65,3.7,3.6,3.7,197300,719855.0,,0.0022,0.0848031119,337662000.0,832611000.0,0.0,,,1.5767,1,
22,000009.XSHE,000009,深宝安A,XSHE,1991-07-25,3.7,3.7,3.7,3.75,3.55,3.65,332300,1199995.0,,0.0036,0.0848031119,333099000.0,821359500.0,-0.0135,,,1.5554,1,
23,000009.XSHE,000009,深宝安A,XSHE,1991-07-26,3.65,3.65,3.65,3.65,3.5,3.5,273100,966745.0,,0.003,0.0848031119,319410000.0,787605000.0,-0.0411,,,1.4915,1,
24,000009.XSHE,000009,深宝安A,XSHE,1991-07-29,3.5,3.5,3.55,3.6,3.45,3.5,392100,1374070.0,,0.0043,0.0848031119,319410000.0,787605000.0,0.0,,,1.4915,1,
25,000009.XSHE,000009,深宝安A,XSHE,1991-07-30,3.5,3.5,3.5,3.5,3.3,3.5,313800,1066100.0,,0.0034,0.0848031119,319410000.0,787605000.0,0.0,,,1.4915,1,
26,000009.XSHE,000009,深宝安A,XSHE,1991-07-31,3.5,3.5,3.4,3.5,3.4,3.5,341400,1169165.0,,0.0037,0.0848031119,319410000.0,787605000.0,0.0,,,1.4915,1,
27,000009.XSHE,000009,深宝安A,XSHE,1991-08-01,3.5,3.5,3.45,3.55,3.45,3.5,372200,1303860.0,,0.0041,0.0848031119,319410000.0,787605000.0,0.0,,,1.4915,1,
28,000009.XSHE,000009,深宝安A,XSHE,1991-08-02,3.5,3.5,3.5,3.6,3.5,3.55,188800,666370.0,,0.0021,0.0848031119,323973000.0,798856500.0,0.0143,,,1.5128,1,
29,000009.XSHE,000009,深宝安A,XSHE,1991-08-05,3.65,3.55,3.65,3.65,3.55,3.6,279300,1006530.0,,0.0031,0.0848031119,328536000.0,810108000.0,-0.0137,,,1.5341,1,
30,000009.XSHE,000009,深宝安A,XSHE,1991-08-06,3.6,3.6,3.55,3.65,3.5,3.6,325100,1163590.0,,0.0036,0.0848031119,328536000.0,810108000.0,0.0,,,1.5341,1,
31,000009.XSHE,000009,深宝安A,XSHE,1991-08-07,3.6,3.6,3.6,3.65,3.6,3.65,238500,862990.0,,0.0026,0.0848031119,333099000.0,821359500.0,0.0139,,,1.5554,1,
32,000009.XSHE,000009,深宝安A,XSHE,1991-08-08,3.65,3.65,3.65,3.65,3.6,3.65,190300,686180.0,,0.0021,0.0848031119,333099000.0,821359500.0,0.0,,,1.5554,1,
33,000009.XSHE,000009,深宝安A,XSHE,1991-08-09,3.65,3.65,3.65,3.65,3.5,3.6,258700,919730.0,,0.0028,0.0848031119,328536000.0,810108000.0,-0.0137,,,1.5341,1,
34,000009.XSHE,000009,深宝安A,XSHE,1991-08-12,3.6,3.6,3.6,3.6,3.55,3.6,331900,1182115.0,,0.0036,0.0848031119,328536000.0,810108000.0,0.0,,,1.5341,1,
35,000009.XSHE,000009,深宝安A,XSHE,1991-08-13,3.6,3.6,3.55,3.6,3.55,3.55,301500,1072860.0,,0.0033,0.0848031119,323973000.0,798856500.0,-0.0139,,,1.5128,1,
36,000009.XSHE,000009,深宝安A,XSHE,1991-08-14,3.55,3.55,3.55,3.6,3.5,3.55,242600,860420.0,,0.0027,0.0848031119,323973000.0,798856500.0,0.0,,,1.5128,1,
37,000009.XSHE,000009,深宝安A,XSHE,1991-08-15,3.55,3.55,3.55,3.6,3.5,3.5,156900,551440.0,,0.0017,0.0848031119,319410000.0,787605000.0,-0.0141,,,1.4915,1,
38,000009.XSHE,000009,深宝安A,XSHE,1991-08-16,3.5,3.5,3.55,3.65,3.5,3.65,339200,1197430.0,,0.0037,0.0848031119,333099000.0,821359500.0,0.0429,,,1.5554,1,
39,000009.XSHE,000009,深宝安A,XSHE,1991-08-19,3.55,3.65,3.55,3.6,3.5,3.6,286000,1021240.0,,0.0031,0.0848031119,328536000.0,810108000.0,0.0141,,,1.5341,1,
40,000009.XSHE,000009,深宝安A,XSHE,1991-08-20,3.6,3.6,3.55,3.6,3.55,3.6,413600,1474395.0,,0.0045,0.0848031119,328536000.0,810108000.0,0.0,,,1.5341,1,
41,000009.XSHE,000009,深宝安A,XSHE,1991-08-21,3.6,3.6,3.6,3.6,3.5,3.6,261800,935170.0,,0.0029,0.0848031119,328536000.0,810108000.0,0.0,,,1.5341,1,
42,000009.XSHE,000009,深宝安A,XSHE,1991-08-22,3.6,3.6,3.55,3.6,3.55,3.6,281400,1004775.0,,0.0031,0.0848031119,328536000.0,810108000.0,0.0,,,1.5341,1,
43,000009.XSHE,000009,深宝安A,XSHE,1991-08-23,3.6,3.6,3.55,3.55,3.55,3.55,114400,406120.0,,0.0013,0.0848031119,323973000.0,798856500.0,-0.0139,,,1.5128,1,
44,000009.XSHE,000009,深宝安A,XSHE,1991-08-26,3.55,3.55,3.55,3.6,3.5,3.6,552300,1971905.0,,0.0061,0.0848031119,328536000.0,810108000.0,0.0141,,,1.5341,1,
45,000009.XSHE,000009,深宝安A,XSHE,1991-08-27,3.6,3.6,3.55,3.6,3.5,3.55,532300,1895480.0,,0.0058,0.0848031119,323973000.0,798856500.0,-0.0139,,,1.5128,1,
46,000009.XSHE,000009,深宝安A,XSHE,1991-08-28,3.55,3.55,3.55,3.6,3.5,3.6,392200,1394480.0,,0.0043,0.0848031119,328536000.0,810108000.0,0.0141,,,1.5341,1,
