,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000007.XSHE,000007,深达声A,XSHE,1992-04-13,22.0,22.0,22.0,26.55,22.0,24.3,159500,3780750.0,,0.019,0.0831028447,204120000.0,515974050.0,0.1045,,,16.1254,1,
1,000007.XSHE,000007,深达声A,XSHE,1992-04-14,24.3,24.3,24.5,25.0,23.65,24.85,210500,5147950.0,,0.0251,0.0831028447,208740000.0,527652475.0,0.0226,,,16.4904,1,
2,000007.XSHE,000007,深达声A,XSHE,1992-04-15,24.85,24.85,25.0,25.8,22.0,22.9,125500,3040700.0,,0.0149,0.0831028447,192360000.0,486247150.0,-0.0785,,,15.1964,1,
3,000007.XSHE,000007,深达声A,XSHE,1992-04-16,22.9,22.9,23.1,24.2,23.0,23.95,185000,4337975.0,,0.022,0.0831028447,201180000.0,508542325.0,0.0459,,,15.8931,1,
4,000007.XSHE,000007,深达声A,XSHE,1992-04-17,23.95,23.95,24.1,24.5,23.0,23.9,156000,3749375.0,,0.0186,0.0831028447,200760000.0,507480650.0,-0.0021,,,15.86,1,
5,000007.XSHE,000007,深达声A,XSHE,1992-04-20,23.9,23.9,23.5,24.3,23.3,23.35,55000,1312225.0,,0.0065,0.0831028447,196140000.0,495802225.0,-0.023,,,15.495,1,
6,000007.XSHE,000007,深达声A,XSHE,1992-04-21,23.35,23.35,23.5,23.5,22.6,23.25,109000,2525775.0,,0.013,0.0831028447,195300000.0,493678875.0,-0.0043,,,15.4286,1,
7,000007.XSHE,000007,深达声A,XSHE,1992-04-22,23.25,23.25,23.1,24.5,22.1,24.5,184500,4372850.0,,0.022,0.0831028447,205800000.0,520220750.0,0.0538,,,16.2581,1,
8,000007.XSHE,000007,深达声A,XSHE,1992-04-23,24.5,24.5,24.6,24.85,24.0,24.85,145000,3546050.0,,0.0173,0.0831028447,208740000.0,527652475.0,0.0143,,,16.4904,1,
9,000007.XSHE,000007,深达声A,XSHE,1992-04-24,24.85,24.85,25.0,25.7,24.3,25.6,294000,7399600.0,,0.035,0.0831028447,215040000.0,543577600.0,0.0302,,,16.9881,1,
10,000007.XSHE,000007,深达声A,XSHE,1992-04-27,25.6,25.6,25.65,25.65,24.5,24.8,91000,2267300.0,,0.0108,0.0831028447,208320000.0,526590800.0,-0.0313,,,16.4572,1,
11,000007.XSHE,000007,深达声A,XSHE,1992-04-28,24.8,24.8,24.5,24.8,24.3,24.55,127500,3114075.0,,0.0152,0.0831028447,206220000.0,521282425.0,-0.0101,,,16.2913,1,
12,000007.XSHE,000007,深达声A,XSHE,1992-04-29,24.55,24.55,24.0,24.6,24.0,24.6,61000,1494150.0,,0.0073,0.0831028447,206640000.0,522344100.0,0.002,,,16.3245,1,
13,000007.XSHE,000007,深达声A,XSHE,1992-04-30,24.6,24.6,24.75,25.05,24.7,24.9,167000,4166250.0,,0.0199,0.0831028447,209160000.0,528714150.0,0.0122,,,16.5236,1,
14,000007.XSHE,000007,深达声A,XSHE,1992-05-04,25.1,24.9,25.1,25.1,24.3,24.75,65500,1608450.0,,0.0078,0.0831028447,207900000.0,525529125.0,-0.0139,,,16.424,1,
15,000007.XSHE,000007,深达声A,XSHE,1992-05-05,24.75,24.75,24.7,26.0,24.6,25.1,326000,8224225.0,,0.0388,0.0831028447,210840000.0,532960850.0,0.0141,,,16.6563,1,
16,000007.XSHE,000007,深达声A,XSHE,1992-05-06,25.1,25.1,25.25,27.0,24.8,26.0,436000,11197875.0,,0.0519,0.0831028447,218400000.0,552071000.0,0.0359,,,17.2535,1,
17,000007.XSHE,000007,深达声A,XSHE,1992-05-07,26.0,26.0,26.0,26.45,24.75,24.8,178000,4482525.0,,0.0212,0.0831028447,208320000.0,526590800.0,-0.0462,,,16.4572,1,
18,000007.XSHE,000007,深达声A,XSHE,1992-05-08,24.8,24.8,24.8,26.15,24.8,25.0,173000,4407850.0,,0.0206,0.0831028447,210000000.0,530837500.0,0.0081,,,16.5899,1,
19,000007.XSHE,000007,深达声A,XSHE,1992-05-11,25.0,25.0,25.0,25.5,23.6,25.5,121500,3041100.0,,0.0145,0.0831028447,214200000.0,541454250.0,0.02,,,16.9217,1,
20,000007.XSHE,000007,深达声A,XSHE,1992-05-12,25.5,25.5,25.5,26.8,25.5,25.8,186500,4850950.0,,0.0222,0.0831028447,216720000.0,547824300.0,0.0118,,,17.1208,1,
21,000007.XSHE,000007,深达声A,XSHE,1992-05-13,25.8,25.8,25.95,27.0,25.95,26.9,358000,9548025.0,,0.0426,0.0831028447,225960000.0,571181150.0,0.0426,,,17.8508,1,
22,000007.XSHE,000007,深达声A,XSHE,1992-05-14,26.9,26.9,26.9,27.0,26.0,26.6,135000,3565075.0,,0.0161,0.0831028447,223440000.0,564811100.0,-0.0112,,,17.6517,1,
23,000007.XSHE,000007,深达声A,XSHE,1992-05-15,26.6,26.6,26.6,28.0,25.9,27.9,127500,3406500.0,,0.0152,0.0831028447,234360000.0,592414650.0,0.0489,,,18.5144,1,
24,000007.XSHE,000007,深达声A,XSHE,1992-05-18,27.9,27.9,28.0,29.0,27.5,28.3,135000,3831750.0,,0.0161,0.0831028447,237720000.0,600908050.0,0.0143,,,18.7798,1,
25,000007.XSHE,000007,深达声A,XSHE,1992-05-19,28.3,28.3,28.5,29.4,28.5,29.15,240000,6948000.0,,0.0286,0.0831028447,244860000.0,618956525.0,0.03,,,19.3439,1,
26,000007.XSHE,000007,深达声A,XSHE,1992-05-20,29.15,29.15,29.0,30.45,29.0,29.6,193000,5807150.0,,0.023,0.0831028447,248640000.0,628511600.0,0.0154,,,19.6425,1,
27,000007.XSHE,000007,深达声A,XSHE,1992-05-21,29.6,29.6,29.6,29.8,28.5,29.8,124000,3643425.0,,0.0148,0.0831028447,250320000.0,632758300.0,0.0068,,,19.7752,1,
28,000007.XSHE,000007,深达声A,XSHE,1992-05-22,29.8,29.8,29.8,30.25,29.5,30.15,136000,4073375.0,,0.0162,0.0831028447,253260000.0,640190025.0,0.0117,,,20.0075,1,
29,000007.XSHE,000007,深达声A,XSHE,1992-05-25,30.15,30.15,30.15,31.9,30.15,31.55,308000,9578000.0,,0.0367,0.0831028447,265020000.0,669916925.0,0.0464,,,20.9365,1,
30,000007.XSHE,000007,深达声A,XSHE,1992-05-26,31.55,31.55,31.8,35.0,31.8,35.0,130500,4389550.0,,0.0155,0.0831028447,294000000.0,743172500.0,0.1094,,,23.2259,1,
31,000007.XSHE,000007,深达声A,XSHE,1992-05-27,35.0,35.0,35.0,38.7,35.0,37.5,167500,6265450.0,,0.0199,0.0831028447,315000000.0,796256250.0,0.0714,,,24.8849,1,
32,000007.XSHE,000007,深达声A,XSHE,1992-05-28,37.5,37.5,37.5,37.5,35.85,36.65,255500,9332375.0,,0.0304,0.0831028447,307860000.0,778207775.0,-0.0227,,,24.3208,1,
33,000007.XSHE,000007,深达声A,XSHE,1992-05-29,36.65,36.65,36.5,36.5,35.0,35.0,347500,12476775.0,,0.0414,0.0831028447,294000000.0,743172500.0,-0.045,,,23.2259,1,
34,000007.XSHE,000007,深达声A,XSHE,1992-06-01,35.0,35.0,35.5,37.15,35.5,36.35,202500,7385225.0,,0.0241,0.0831028447,305340000.0,771837725.0,0.0386,,,24.1218,1,
35,000007.XSHE,000007,深达声A,XSHE,1992-06-02,36.35,36.35,36.35,36.35,35.0,36.0,141000,5015150.0,,0.0168,0.0831028447,302400000.0,764406000.0,-0.0096,,,23.8895,1,
36,000007.XSHE,000007,深达声A,XSHE,1992-06-03,36.0,36.0,36.15,36.15,33.65,33.9,85000,3004850.0,,0.0101,0.0831028447,284760000.0,719815650.0,-0.0583,,,22.4959,1,
37,000007.XSHE,000007,深达声A,XSHE,1992-06-04,33.9,33.9,32.5,34.8,31.5,34.6,181000,5939525.0,,0.0215,0.0831028447,290640000.0,734679100.0,0.0206,,,22.9605,1,
38,000007.XSHE,000007,深达声A,XSHE,1992-06-05,34.6,34.6,34.55,36.0,34.0,34.25,152000,5299675.0,,0.0181,0.0831028447,287700000.0,727247375.0,-0.0101,,,22.7282,1,
39,000007.XSHE,000007,深达声A,XSHE,1992-06-08,34.25,34.25,32.7,33.9,32.7,33.2,88500,2945075.0,,0.0105,0.0831028447,278880000.0,704952200.0,-0.0307,,,22.0314,1,
40,000007.XSHE,000007,深达声A,XSHE,1992-06-09,33.2,33.2,31.55,33.0,30.5,30.5,60500,1915475.0,,0.0072,0.0831028447,256200000.0,647621750.0,-0.0813,,,20.2397,1,
41,000007.XSHE,000007,深达声A,XSHE,1992-06-10,30.5,30.5,30.35,32.05,30.0,31.6,109500,3379725.0,,0.013,0.0831028447,265440000.0,670978600.0,0.0361,,,20.9697,1,
42,000007.XSHE,000007,深达声A,XSHE,1992-06-11,31.6,31.6,31.75,31.75,30.7,31.0,48000,1492800.0,,0.0057,0.0831028447,260400000.0,658238500.0,-0.019,,,20.5715,1,
43,000007.XSHE,000007,深达声A,XSHE,1992-06-12,31.0,31.0,31.0,31.0,29.8,30.8,113000,3429525.0,,0.0135,0.0831028447,258720000.0,653991800.0,-0.0065,,,20.4388,1,
44,000007.XSHE,000007,深达声A,XSHE,1992-06-15,30.8,30.8,30.8,30.8,29.8,29.9,78500,2358400.0,,0.0093,0.0831028447,251160000.0,634881650.0,-0.0292,,,19.8416,1,
45,000007.XSHE,000007,深达声A,XSHE,1992-06-16,29.9,29.9,30.05,30.1,28.0,28.0,174500,5034475.0,,0.0208,0.0831028447,235200000.0,594538000.0,-0.0635,,,18.5807,1,
46,000007.XSHE,000007,深达声A,XSHE,1992-06-17,28.0,28.0,28.0,29.0,26.8,29.0,111500,3080225.0,,0.0133,0.0831028447,243600000.0,615771500.0,0.0357,,,19.2443,1,
