,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000003.XSHE,000003,深金田A,XSHE,1991-07-03,10.0,10.0,7.1,7.3,7.0,7.3,129500,808925.0,0.0,0.0054,0.2676385641,171420795.4,303285943.0,-0.27,,,,1,
1,000003.XSHE,000003,深金田A,XSHE,1991-07-04,7.3,7.3,6.3,6.35,6.1,6.2,153500,953575.0,0.0,0.0064,0.2676385641,149691398.8,264841246.0,-0.1507,,,,1,
2,000003.XSHE,000003,深金田A,XSHE,1991-07-05,6.2,6.2,7.0,7.1,6.9,7.0,214500,1295775.0,0.0,0.0089,0.2676385641,169006418.0,299014310.0,0.129,,,,1,
3,000003.XSHE,000003,深金田A,XSHE,1991-07-08,7.0,7.0,6.85,6.85,6.45,6.85,135500,768800.0,0.0,0.0056,0.2676385641,165384851.9,292606860.5,-0.0214,,,,1,
4,000003.XSHE,000003,深金田A,XSHE,1991-07-09,6.85,6.85,6.2,6.2,5.7,6.2,155500,779150.0,0.0,0.0064,0.2676385641,149691398.8,264841246.0,-0.0949,,,,1,
5,000003.XSHE,000003,深金田A,XSHE,1991-07-10,6.2,6.2,6.0,6.4,6.0,6.0,197500,1057050.0,0.0,0.0082,0.2676385641,144862644.0,256297980.0,-0.0323,,,,1,
6,000003.XSHE,000003,深金田A,XSHE,1991-07-11,6.0,6.0,6.35,6.35,6.0,6.35,222000,1155600.0,0.0,0.0092,0.2676385641,153312964.9,271248695.5,0.0583,,,,1,
7,000003.XSHE,000003,深金田A,XSHE,1991-07-12,6.35,6.35,6.0,6.0,5.8,6.0,229500,1146350.0,0.0,0.0095,0.2676385641,144862644.0,256297980.0,-0.0551,,,,1,
8,000003.XSHE,000003,深金田A,XSHE,1991-07-15,6.0,6.0,5.9,5.9,5.55,5.9,174000,849200.0,0.0,0.0072,0.2676385641,142448266.6,252026347.0,-0.0167,,,,1,
9,000003.XSHE,000003,深金田A,XSHE,1991-07-16,5.9,5.9,5.6,5.6,5.55,5.55,232500,1109875.0,0.0,0.0096,0.2676385641,133997945.7,237075631.5,-0.0593,,,,1,
10,000003.XSHE,000003,深金田A,XSHE,1991-07-17,5.55,5.55,5.05,5.15,4.75,5.05,151500,677550.0,0.0,0.0063,0.2676385641,121926058.7,215717466.5,-0.0901,,,,1,
11,000003.XSHE,000003,深金田A,XSHE,1991-07-18,5.05,5.05,4.85,6.6,4.85,4.85,276500,1455400.0,0.0,0.0115,0.2676385641,117097303.9,207174200.5,-0.0396,,,,1,
12,000003.XSHE,000003,深金田A,XSHE,1991-07-19,4.85,4.85,6.2,7.1,6.2,6.2,418500,2450975.0,0.0,0.0173,0.2676385641,149691398.8,264841246.0,0.2784,,,,1,
13,000003.XSHE,000003,深金田A,XSHE,1991-07-22,6.2,6.2,6.35,6.5,6.1,6.35,272000,1455275.0,0.0,0.0113,0.2676385641,153312964.9,271248695.5,0.0242,,,,1,
14,000003.XSHE,000003,深金田A,XSHE,1991-07-23,6.35,6.35,6.3,6.8,6.3,6.3,282500,1535725.0,0.0,0.0117,0.2676385641,152105776.2,269112879.0,-0.0079,,,,1,
15,000003.XSHE,000003,深金田A,XSHE,1991-07-24,6.3,6.3,6.5,6.5,6.3,6.5,129500,695350.0,0.0,0.0054,0.2676385641,156934531.0,277656145.0,0.0317,,,,1,
16,000003.XSHE,000003,深金田A,XSHE,1991-07-25,6.5,6.5,6.4,6.45,6.2,6.4,156000,830200.0,0.0,0.0065,0.2676385641,154520153.6,273384512.0,-0.0154,,,,1,
17,000003.XSHE,000003,深金田A,XSHE,1991-07-26,6.4,6.4,6.3,6.3,6.0,6.3,169500,885300.0,0.0,0.007,0.2676385641,152105776.2,269112879.0,-0.0156,,,,1,
18,000003.XSHE,000003,深金田A,XSHE,1991-07-29,6.3,6.3,6.15,6.15,6.15,6.15,228000,1139825.0,0.0,0.0094,0.2676385641,148484210.1,262705429.5,-0.0238,,,,1,
19,000003.XSHE,000003,深金田A,XSHE,1991-07-30,6.15,6.15,5.95,6.1,5.85,5.95,129500,640600.0,0.0,0.0054,0.2676385641,143655455.3,254162163.5,-0.0325,,,,1,
20,000003.XSHE,000003,深金田A,XSHE,1991-07-31,5.95,5.95,6.05,6.2,6.0,6.05,165500,841700.0,0.0,0.0069,0.2676385641,146069832.7,258433796.5,0.0168,,,,1,
21,000003.XSHE,000003,深金田A,XSHE,1991-08-01,6.05,6.05,6.15,6.4,6.15,6.4,183000,949700.0,0.0,0.0076,0.2676385641,154520153.6,273384512.0,0.0579,,,,1,
22,000003.XSHE,000003,深金田A,XSHE,1991-08-02,6.4,6.4,6.4,6.45,6.3,6.3,206000,1081950.0,0.0,0.0085,0.2676385641,152105776.2,269112879.0,-0.0156,,,,1,
23,000003.XSHE,000003,深金田A,XSHE,1991-08-05,6.35,6.3,6.35,6.4,6.3,6.4,113500,593775.0,0.0,0.0047,0.2676385641,154520153.6,273384512.0,0.0079,,,,1,
24,000003.XSHE,000003,深金田A,XSHE,1991-08-06,6.4,6.4,6.35,6.4,6.3,6.35,159000,828225.0,0.0,0.0066,0.2676385641,153312964.9,271248695.5,-0.0078,,,,1,
25,000003.XSHE,000003,深金田A,XSHE,1991-08-07,6.35,6.35,6.25,6.3,6.2,6.3,137000,706250.0,0.0,0.0057,0.2676385641,152105776.2,269112879.0,-0.0079,,,,1,
26,000003.XSHE,000003,深金田A,XSHE,1991-08-08,6.3,6.3,6.25,6.3,6.2,6.2,130500,668175.0,0.0,0.0054,0.2676385641,149691398.8,264841246.0,-0.0159,,,,1,
27,000003.XSHE,000003,深金田A,XSHE,1991-08-09,6.2,6.2,6.2,6.2,6.1,6.15,120000,610700.0,0.0,0.005,0.2676385641,148484210.1,262705429.5,-0.0081,,,,1,
28,000003.XSHE,000003,深金田A,XSHE,1991-08-12,6.45,6.15,6.3,6.3,6.15,6.25,72500,450725.0,,0.003,0.2676385641,150898587.5,150898587.5,-0.031,23.2356,23.2356,,1,
29,000003.XSHE,000003,深金田A,XSHE,1991-08-13,6.25,6.25,6.2,6.25,6.2,6.25,92000,470100.0,0.0,0.0038,0.2676385641,150898587.5,266977062.5,0.0,,,,1,
30,000003.XSHE,000003,深金田A,XSHE,1991-08-14,6.25,6.25,6.2,6.25,6.2,6.2,66000,337400.0,0.0,0.0027,0.2676385641,149691398.8,264841246.0,-0.008,,,,1,
31,000003.XSHE,000003,深金田A,XSHE,1991-08-15,6.2,6.2,6.2,6.25,6.15,6.25,132500,670850.0,0.0,0.0055,0.2676385641,150898587.5,266977062.5,0.0081,,,,1,
32,000003.XSHE,000003,深金田A,XSHE,1991-08-16,6.25,6.25,6.2,6.25,6.2,6.2,181000,908850.0,0.0,0.0075,0.2676385641,149691398.8,264841246.0,-0.008,,,,1,
33,000003.XSHE,000003,深金田A,XSHE,1991-08-19,6.3,6.2,6.4,6.6,6.4,6.5,73000,376800.0,0.0,0.003,0.2676385641,156934531.0,277656145.0,0.0317,,,,1,
34,000003.XSHE,000003,深金田A,XSHE,1991-08-20,6.5,6.5,6.5,6.5,6.4,6.45,92000,469825.0,0.0,0.0038,0.2676385641,155727342.3,275520328.5,-0.0077,,,,1,
35,000003.XSHE,000003,深金田A,XSHE,1991-08-21,6.45,6.45,6.45,6.45,6.35,6.4,79000,400575.0,0.0,0.0033,0.2676385641,154520153.6,273384512.0,-0.0078,,,,1,
36,000003.XSHE,000003,深金田A,XSHE,1991-08-22,6.4,6.4,6.35,6.4,6.35,6.4,142500,719900.0,0.0,0.0059,0.2676385641,154520153.6,273384512.0,0.0,,,,1,
37,000003.XSHE,000003,深金田A,XSHE,1991-08-23,6.4,6.4,6.3,6.35,6.3,6.35,117500,589125.0,0.0,0.0049,0.2676385641,153312964.9,271248695.5,-0.0078,,,,1,
38,000003.XSHE,000003,深金田A,XSHE,1991-08-26,6.35,6.35,0.0,0.0,0.0,6.35,64000,322850.0,,0.0027,0.2676385641,153312964.9,271248695.5,0.0,,,,1,
39,000003.XSHE,000003,深金田A,XSHE,1991-08-27,6.35,6.35,0.0,0.0,0.0,6.35,143000,717225.0,,0.0059,0.2676385641,153312964.9,271248695.5,0.0,,,,1,
40,000003.XSHE,000003,深金田A,XSHE,1991-08-28,6.35,6.35,6.3,6.4,6.25,6.3,73500,366600.0,0.0,0.003,0.2676385641,152105776.2,269112879.0,-0.0079,,,,1,
41,000003.XSHE,000003,深金田A,XSHE,1991-08-29,6.3,6.3,6.2,6.3,6.2,6.25,54000,268150.0,0.0,0.0022,0.2676385641,150898587.5,266977062.5,-0.0079,,,,1,
42,000003.XSHE,000003,深金田A,XSHE,1991-08-30,6.25,6.25,6.25,6.3,6.25,6.25,95000,470550.0,0.0,0.0039,0.2676385641,150898587.5,266977062.5,0.0,,,,1,
43,000003.XSHE,000003,深金田A,XSHE,1991-09-02,6.3,6.25,6.3,6.35,6.3,6.35,87500,428925.0,0.0,0.0036,0.2676385641,153312964.9,271248695.5,0.0079,,,,1,
44,000003.XSHE,000003,深金田A,XSHE,1991-09-03,6.35,6.35,6.3,6.35,6.2,6.2,82500,403475.0,0.0,0.0034,0.2676385641,149691398.8,264841246.0,-0.0236,,,,1,
45,000003.XSHE,000003,深金田A,XSHE,1991-09-04,6.2,6.2,6.2,6.3,6.2,6.25,101000,484300.0,0.0,0.0042,0.2676385641,150898587.5,266977062.5,0.0081,,,,1,
46,000003.XSHE,000003,深金田A,XSHE,1991-09-05,6.25,6.25,6.25,6.25,6.2,6.2,129500,602800.0,0.0,0.0054,0.2676385641,149691398.8,264841246.0,-0.008,,,,1,
47,000003.XSHE,000003,深金田A,XSHE,1991-09-06,6.2,6.2,6.2,6.2,5.8,5.9,153000,674300.0,0.0,0.0063,0.2676385641,142448266.6,252026347.0,-0.0484,,,,1,
48,000003.XSHE,000003,深金田A,XSHE,1991-09-09,6.15,5.9,6.0,6.15,6.0,6.15,236500,1077800.0,0.0,0.0098,0.2676385641,148484210.1,262705429.5,0.0,,,,1,
49,000003.XSHE,000003,深金田A,XSHE,1991-09-10,6.15,6.15,6.15,6.25,6.1,6.2,150500,699050.0,0.0,0.0062,0.2676385641,149691398.8,264841246.0,0.0081,,,,1,
50,000003.XSHE,000003,深金田A,XSHE,1991-09-11,6.2,6.2,6.15,6.3,6.15,6.3,252500,1166725.0,0.0,0.0105,0.2676385641,152105776.2,269112879.0,0.0161,,,,1,
51,000003.XSHE,000003,深金田A,XSHE,1991-09-12,6.3,6.3,6.35,6.4,6.3,6.35,224500,1042700.0,0.0,0.0093,0.2676385641,153312964.9,271248695.5,0.0079,,,,1,
52,000003.XSHE,000003,深金田A,XSHE,1991-09-13,6.35,6.35,6.35,6.35,6.25,6.3,154000,711000.0,0.0,0.0064,0.2676385641,152105776.2,269112879.0,-0.0079,,,,1,
53,000003.XSHE,000003,深金田A,XSHE,1991-09-16,6.35,6.3,6.25,6.3,6.25,6.3,113500,516850.0,0.0,0.0047,0.2676385641,152105776.2,269112879.0,-0.0079,,,,1,
54,000003.XSHE,000003,深金田A,XSHE,1991-09-17,6.3,6.3,6.3,6.3,6.25,6.25,117500,534275.0,0.0,0.0049,0.2676385641,150898587.5,266977062.5,-0.0079,,,,1,
55,000003.XSHE,000003,深金田A,XSHE,1991-09-18,6.25,6.25,6.25,6.3,6.25,6.25,92500,417375.0,0.0,0.0038,0.2676385641,150898587.5,266977062.5,0.0,,,,1,
56,000003.XSHE,000003,深金田A,XSHE,1991-09-19,6.25,6.25,6.3,6.3,6.25,6.25,75000,335875.0,0.0,0.0031,0.2676385641,150898587.5,266977062.5,0.0,,,,1,
57,000003.XSHE,000003,深金田A,XSHE,1991-09-20,6.25,6.25,6.3,6.3,6.2,6.2,101000,446000.0,0.0,0.0042,0.2676385641,149691398.8,264841246.0,-0.008,,,,1,
58,000003.XSHE,000003,深金田A,XSHE,1991-09-23,6.3,6.2,6.25,6.3,6.2,6.3,74000,329650.0,0.0,0.0031,0.2676385641,152105776.2,269112879.0,0.0,,,,1,
59,000003.XSHE,000003,深金田A,XSHE,1991-09-24,6.3,6.3,6.3,6.3,6.25,6.3,76500,342050.0,0.0,0.0032,0.2676385641,152105776.2,269112879.0,0.0,,,,1,
60,000003.XSHE,000003,深金田A,XSHE,1991-09-25,6.3,6.3,6.2,6.3,6.2,6.3,335500,1577800.0,0.0,0.0139,0.2676385641,152105776.2,269112879.0,0.0,,,,1,
61,000003.XSHE,000003,深金田A,XSHE,1991-09-26,6.3,6.3,6.25,6.3,6.25,6.25,94000,423750.0,0.0,0.0039,0.2676385641,150898587.5,266977062.5,-0.0079,,,,1,
62,000003.XSHE,000003,深金田A,XSHE,1991-09-27,6.25,6.25,6.3,6.45,6.3,6.4,90000,412300.0,0.0,0.0037,0.2676385641,154520153.6,273384512.0,0.024,,,,1,
63,000003.XSHE,000003,深金田A,XSHE,1991-09-30,6.4,6.4,6.4,6.45,6.4,6.45,9000,289000.0,0.0,0.0004,0.2676385641,155727342.3,275520328.5,0.0078,,,,1,
64,000003.XSHE,000003,深金田A,XSHE,1991-10-03,6.45,6.45,6.4,7.1,6.4,6.9,286500,1420825.0,0.0,0.0119,0.2676385641,166592040.6,294742677.0,0.0698,,,,1,
65,000003.XSHE,000003,深金田A,XSHE,1991-10-04,6.9,6.9,7.0,7.0,6.7,6.85,403000,1982600.0,0.0,0.0167,0.2676385641,165384851.9,292606860.5,-0.0072,,,,1,
66,000003.XSHE,000003,深金田A,XSHE,1991-10-07,7.0,6.85,7.1,8.1,7.1,8.0,561000,2961275.0,0.0,0.0232,0.2676385641,193150192.0,341730640.0,0.1429,,,,1,
67,000003.XSHE,000003,深金田A,XSHE,1991-10-08,8.0,8.0,9.45,10.45,9.45,10.32,754000,5050700.0,0.0,0.0312,0.2676385641,249163747.68,440832525.6,0.29,,,,1,
68,000003.XSHE,000003,深金田A,XSHE,1991-10-09,10.32,10.32,10.5,15.8,10.5,15.3,688000,5478025.0,0.0,0.0285,0.2676385641,369399742.2,653559849.0,0.4826,,,,1,
69,000003.XSHE,000003,深金田A,XSHE,1991-10-10,15.3,15.3,15.45,16.8,12.8,13.0,772500,7061550.0,0.0,0.032,0.2676385641,313869062.0,555312290.0,-0.1503,,,,1,
70,000003.XSHE,000003,深金田A,XSHE,1991-10-11,13.0,13.0,12.5,13.8,10.0,13.8,842000,6321175.0,0.0,0.0349,0.2676385641,333184081.2,589485354.0,0.0615,,,,1,
71,000003.XSHE,000003,深金田A,XSHE,1991-10-14,14.5,13.8,14.5,15.25,14.3,14.6,536500,4631100.0,0.0,0.0222,0.2676385641,352499100.4,623658418.0,0.0069,,,,1,
72,000003.XSHE,000003,深金田A,XSHE,1991-10-15,14.6,14.6,14.5,14.5,13.2,13.3,322000,2584300.0,0.0,0.0133,0.2676385641,321112194.2,568127189.0,-0.089,,,,1,
73,000003.XSHE,000003,深金田A,XSHE,1991-10-16,13.3,13.3,13.3,13.35,12.95,13.3,392000,3052125.0,0.0,0.0162,0.2676385641,321112194.2,568127189.0,0.0,,,,1,
74,000003.XSHE,000003,深金田A,XSHE,1991-10-17,13.3,13.3,13.2,13.8,13.1,13.8,492000,3805300.0,0.0,0.0204,0.2676385641,333184081.2,589485354.0,0.0376,,,,1,
75,000003.XSHE,000003,深金田A,XSHE,1991-10-18,13.8,13.8,13.8,14.5,13.8,14.0,569500,4669425.0,0.0,0.0236,0.2676385641,338012836.0,598028620.0,0.0145,,,,1,
76,000003.XSHE,000003,深金田A,XSHE,1991-10-21,14.0,14.0,14.0,14.2,13.8,13.9,375000,2944200.0,0.0,0.0155,0.2676385641,335598458.6,593756987.0,-0.0071,,,,1,
77,000003.XSHE,000003,深金田A,XSHE,1991-10-22,13.9,13.9,13.9,13.9,13.5,13.55,392000,3047025.0,0.0,0.0162,0.2676385641,327148137.7,578806271.5,-0.0252,,,,1,
78,000003.XSHE,000003,深金田A,XSHE,1991-10-23,13.55,13.55,13.45,13.8,13.15,13.8,427500,3272425.0,0.0,0.0177,0.2676385641,333184081.2,589485354.0,0.0185,,,,1,
79,000003.XSHE,000003,深金田A,XSHE,1991-10-24,13.8,13.8,13.8,14.2,13.8,14.0,341500,2692775.0,0.0,0.0141,0.2676385641,338012836.0,598028620.0,0.0145,,,,1,
80,000003.XSHE,000003,深金田A,XSHE,1991-10-25,14.0,14.0,14.0,14.1,13.9,14.0,271000,2135075.0,0.0,0.0112,0.2676385641,338012836.0,598028620.0,0.0,,,,1,
81,000003.XSHE,000003,深金田A,XSHE,1991-10-28,13.95,14.0,14.0,15.3,13.95,15.15,512500,4177725.0,0.0,0.0212,0.2676385641,365778176.1,647152399.5,0.086,,,,1,
82,000003.XSHE,000003,深金田A,XSHE,1991-10-29,15.15,15.15,15.1,16.0,15.1,15.45,514500,4397700.0,0.0,0.0213,0.2676385641,373021308.3,659967298.5,0.0198,,,,1,
83,000003.XSHE,000003,深金田A,XSHE,1991-10-30,15.45,15.45,15.55,15.8,15.4,15.7,665500,5668600.0,0.0,0.0276,0.2676385641,379057251.8,670646381.0,0.0162,,,,1,
84,000003.XSHE,000003,深金田A,XSHE,1991-10-31,15.7,15.7,15.75,17.0,15.75,16.9,827000,7378825.0,0.0,0.0343,0.2676385641,408029780.6,721905977.0,0.0764,,,,1,
