,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000008.XSHE,000008,深锦兴A,XSHE,1992-05-07,19.9,19.9,19.9,24.0,19.9,20.65,159000,3412975.0,,0.014,0.0373216607,235089635.9,490644000.0,0.0377,,,17.8335,1,
1,000008.XSHE,000008,深锦兴A,XSHE,1992-05-08,20.65,20.65,20.6,20.6,17.5,17.75,61000,1213675.0,,0.0054,0.0373216607,202074626.5,421740000.0,-0.1404,,,15.3291,1,
2,000008.XSHE,000008,深锦兴A,XSHE,1992-05-11,17.75,17.75,18.0,18.0,16.8,17.95,73500,1290925.0,,0.0065,0.0373216607,204351523.7,426492000.0,0.0113,,,15.5018,1,
3,000008.XSHE,000008,深锦兴A,XSHE,1992-05-12,17.95,17.95,18.1,19.0,17.0,18.55,138500,2508425.0,,0.0122,0.0373216607,211182215.3,440748000.0,0.0334,,,16.02,1,
4,000008.XSHE,000008,深锦兴A,XSHE,1992-05-13,18.55,18.55,18.55,18.55,17.8,18.2,185000,3336825.0,,0.0163,0.0373216607,207197645.2,432432000.0,-0.0189,,,15.7177,1,
5,000008.XSHE,000008,深锦兴A,XSHE,1992-05-14,18.2,18.2,18.05,19.0,18.05,19.0,150000,2778125.0,,0.0132,0.0373216607,216305234.0,451440000.0,0.044,,,16.4086,1,
6,000008.XSHE,000008,深锦兴A,XSHE,1992-05-15,19.0,19.0,19.0,20.2,18.5,20.1,167000,3257350.0,,0.0147,0.0373216607,228828168.6,477576000.0,0.0579,,,17.3586,1,
7,000008.XSHE,000008,深锦兴A,XSHE,1992-05-18,20.1,20.1,20.2,21.2,20.2,20.95,240500,5004500.0,,0.0211,0.0373216607,238504981.7,497772000.0,0.0423,,,18.0926,1,
8,000008.XSHE,000008,深锦兴A,XSHE,1992-05-19,20.95,20.95,21.0,23.5,21.0,22.8,264500,5895900.0,,0.0232,0.0373216607,259566280.8,541728000.0,0.0883,,,19.6903,1,
9,000008.XSHE,000008,深锦兴A,XSHE,1992-05-20,22.8,22.8,22.95,24.0,22.5,22.9,276000,6370750.0,,0.0242,0.0373216607,260704729.4,544104000.0,0.0044,,,19.7767,1,
10,000008.XSHE,000008,深锦兴A,XSHE,1992-05-21,22.9,22.9,23.05,23.05,21.0,22.85,203500,4602600.0,,0.0179,0.0373216607,260135505.1,542916000.0,-0.0022,,,19.7335,1,
11,000008.XSHE,000008,深锦兴A,XSHE,1992-05-22,22.85,22.85,22.7,23.8,22.5,23.4,354000,8182525.0,,0.0311,0.0373216607,266396972.4,555984000.0,0.0241,,,20.2085,1,
12,000008.XSHE,000008,深锦兴A,XSHE,1992-05-25,23.4,23.4,23.4,24.0,23.0,23.9,362000,8499750.0,,0.0318,0.0373216607,272089215.4,567864000.0,0.0214,,,20.6403,1,
13,000008.XSHE,000008,深锦兴A,XSHE,1992-05-26,23.9,23.9,24.5,26.8,24.45,26.25,302500,7768375.0,,0.0266,0.0373216607,298842757.5,623700000.0,0.0983,,,22.6698,1,
14,000008.XSHE,000008,深锦兴A,XSHE,1992-05-27,26.25,26.25,26.1,27.5,25.65,27.4,371000,9860650.0,,0.0326,0.0373216607,311934916.4,651024000.0,0.0438,,,23.6629,1,
15,000008.XSHE,000008,深锦兴A,XSHE,1992-05-28,27.4,27.4,27.4,28.0,26.7,26.85,416000,11357400.0,,0.0365,0.0373216607,305673449.1,637956000.0,-0.0201,,,23.1879,1,
16,000008.XSHE,000008,深锦兴A,XSHE,1992-05-29,26.85,26.85,27.0,27.0,26.2,26.3,245000,6500800.0,,0.0215,0.0373216607,299411981.8,624888000.0,-0.0205,,,22.7129,1,
17,000008.XSHE,000008,深锦兴A,XSHE,1992-06-01,26.3,26.3,26.5,27.2,26.45,26.55,158000,4250750.0,,0.0139,0.0373216607,302258103.3,630828000.0,0.0095,,,22.9288,1,
18,000008.XSHE,000008,深锦兴A,XSHE,1992-06-02,26.55,26.55,26.3,26.3,25.0,25.45,54500,1378975.0,,0.0048,0.0373216607,289735168.7,604692000.0,-0.0414,,,21.9789,1,
19,000008.XSHE,000008,深锦兴A,XSHE,1992-06-03,25.45,25.45,25.3,26.0,24.0,24.1,74500,1884175.0,,0.0065,0.0373216607,274366112.6,572616000.0,-0.053,,,20.813,1,
20,000008.XSHE,000008,深锦兴A,XSHE,1992-06-04,24.1,24.1,23.35,23.5,20.0,23.5,310000,6964950.0,,0.0272,0.0373216607,267535421.0,558360000.0,-0.0249,,,20.2948,1,
21,000008.XSHE,000008,深锦兴A,XSHE,1992-06-05,23.5,23.5,23.5,25.0,23.5,24.1,307500,7507400.0,,0.027,0.0373216607,274366112.6,572616000.0,0.0255,,,20.813,1,
22,000008.XSHE,000008,深锦兴A,XSHE,1992-06-08,24.1,24.1,23.95,23.95,22.0,22.65,91500,2079700.0,,0.008,0.0373216607,257858607.9,538164000.0,-0.0602,,,19.5608,1,
23,000008.XSHE,000008,深锦兴A,XSHE,1992-06-09,22.65,22.65,22.8,22.8,21.7,21.85,101000,2220825.0,,0.0089,0.0373216607,248751019.1,519156000.0,-0.0353,,,18.8699,1,
24,000008.XSHE,000008,深锦兴A,XSHE,1992-06-10,21.85,21.85,21.85,22.2,20.5,22.0,215500,4632625.0,,0.0189,0.0373216607,250458692.0,522720000.0,0.0069,,,18.9994,1,
25,000008.XSHE,000008,深锦兴A,XSHE,1992-06-11,22.0,22.0,22.15,22.55,21.4,22.0,82000,1824375.0,,0.0072,0.0373216607,250458692.0,522720000.0,0.0,,,18.9994,1,
26,000008.XSHE,000008,深锦兴A,XSHE,1992-06-12,22.0,22.0,22.0,22.0,21.1,21.5,149000,3197950.0,,0.0131,0.0373216607,244766449.0,510840000.0,-0.0227,,,18.5676,1,
27,000008.XSHE,000008,深锦兴A,XSHE,1992-06-15,21.5,21.5,21.5,22.4,20.25,20.25,112500,2423250.0,,0.0099,0.0373216607,230535841.5,481140000.0,-0.0581,,,17.4881,1,
28,000008.XSHE,000008,深锦兴A,XSHE,1992-06-16,20.25,20.25,20.1,20.1,18.0,18.0,86000,1628475.0,,0.0076,0.0373216607,204920748.0,427680000.0,-0.1111,,,15.545,1,
29,000008.XSHE,000008,深锦兴A,XSHE,1992-06-17,18.0,18.0,17.85,21.2,17.5,21.2,144500,2683925.0,,0.0127,0.0373216607,241351103.2,503712000.0,0.1778,,,18.3085,1,
30,000008.XSHE,000008,深锦兴A,XSHE,1992-06-18,21.2,21.2,21.35,21.7,19.1,20.0,179000,3656825.0,,0.0157,0.0373216607,227689720.0,475200000.0,-0.0566,,,17.2722,1,
31,000008.XSHE,000008,深锦兴A,XSHE,1992-06-19,20.0,20.0,20.0,20.4,18.7,20.0,189500,3759950.0,,0.0166,0.0373216607,227689720.0,475200000.0,0.0,,,17.2722,1,
32,000008.XSHE,000008,深锦兴A,XSHE,1992-06-22,20.0,20.0,19.85,19.85,18.5,19.0,91000,1732975.0,,0.008,0.0373216607,216305234.0,451440000.0,-0.05,,,16.4086,1,
33,000008.XSHE,000008,深锦兴A,XSHE,1992-06-23,19.0,19.0,19.0,19.3,18.4,19.05,144500,2695925.0,,0.0127,0.0373216607,216874458.3,452628000.0,0.0026,,,16.4518,1,
